source_count,method,median_us,p95_us,throughput_calls_s,throughput_repeat_sd,repeat_median_sd_us,peak_traced_allocation_kib,timed_calls
3,quality_weighted_vote,13.9,20.7,71577.86239871732,4100.137797341159,1.1977061409210525,2.7109375,5000
3,evidential_composition,14.8,22.4,63475.5397007763,1812.6468516836003,0.2683281572999745,3.4140625,5000
3,registered_graph_components,2.0,2.1,470300.5220335795,10914.943838483521,0.08366600265340755,1.2890625,5000
8,quality_weighted_vote,24.5,29.4,35645.28662374974,3869.507433830036,0.5770615218501405,3.015625,5000
8,evidential_composition,51.0,103.4,26145.636424009015,2964.537794933765,4.903748566148148,5.046875,5000
8,registered_graph_components,6.8,11.1,117258.03803850754,4265.813925007477,0.3834057902536164,1.9296875,5000
16,quality_weighted_vote,49.5,82.1,16794.754662223895,565.94058931151,6.385393488266795,3.515625,5000
16,evidential_composition,102.7,197.9,6546.4305587378485,1359.7303073426397,4.965178748041203,7.625,5000
16,registered_graph_components,37.9,55.7,25342.696614976016,727.3882212862876,2.127674787179659,2.875,5000
32,quality_weighted_vote,120.9,178.1,7576.99744806726,237.78902565567373,2.8468403537957676,4.515625,5000
32,evidential_composition,216.0,350.1,4416.003419753049,174.01420495495546,4.624986486466737,12.875,5000
32,registered_graph_components,129.2,176.0,7501.554697210997,119.61168422504034,2.487116804655547,4.3671875,5000
64,quality_weighted_vote,227.95,318.5,4225.662192958102,211.03992078071892,6.162892989497715,6.515625,5000
64,evidential_composition,403.1,568.1,2425.320148322879,67.06074741172755,5.6832429122816865,23.375,5000
64,registered_graph_components,479.1,650.1,1976.8076967403035,31.93145188654816,9.750166665242185,8.96875,5000
