left_model,right_model,registered_relation,n,n00,n01,n10,n11,checkpoint_pair_phi,joint_error_lift,conditional_co_error,checkpoint_pair_phi_ci95_low,checkpoint_pair_phi_ci95_high,joint_error_lift_ci95_low,joint_error_lift_ci95_high,conditional_co_error_ci95_low,conditional_co_error_ci95_high
qwen3vl_8b,qwen3vl_32b,within_family,2256,1222,35,569,430,0.4943507155462505,2.0882818302173143,0.6775808066130646,0.4674507141663945,0.5197930879944879,2.033935301363207,2.143974146228058,0.6585943398233064,0.6957998591789757
qwen3vl_8b,internvl3_2b,between_family,2256,133,1124,995,4,-0.8843481497754087,0.008008008008008008,0.003775051647392073,-0.900581954109854,-0.8680094330232784,0.0019821605550049554,0.016163255270760332,0.0009364930817290513,0.0076032118898257135
qwen3vl_8b,internvl3_8b,between_family,2256,599,658,865,134,-0.4051726094000875,0.3820790487457154,0.15166302666302667,-0.43198071029436386,-0.3774147165467065,0.34032542321586606,0.4262677111104341,0.13378850170211468,0.16972419371289751
qwen3vl_8b,llava_onevision_0_5b,between_family,2256,133,1124,995,4,-0.8843481497754087,0.008008008008008008,0.003775051647392073,-0.900581954109854,-0.8680094330232784,0.0019821605550049554,0.016163255270760332,0.0009364930817290513,0.0076032118898257135
qwen3vl_8b,llava_onevision_7b,between_family,2256,133,1124,995,4,-0.8843481497754087,0.008008008008008008,0.003775051647392073,-0.900581954109854,-0.8680094330232784,0.0019821605550049554,0.016163255270760332,0.0009364930817290513,0.0076032118898257135
qwen3vl_8b,smolvlm2_0_5b,between_family,2256,144,1113,993,6,-0.8736935119529476,0.012108623368676987,0.005683968150456086,-0.8904002886361553,-0.8560516190031107,0.004003907660339588,0.022209427953289524,0.0018821257593382445,0.010431695533636888
qwen3vl_8b,smolvlm2_2_2b,between_family,2256,842,415,492,507,0.17920650076205086,1.2417971116452677,0.5286995238188297,0.14387667341329308,0.2152773322086671,1.1926905453558583,1.292067619964835,0.506753115536149,0.550122698257671
qwen3vl_32b,internvl3_2b,between_family,2256,680,1111,448,17,-0.4722837476619602,0.07311827956989247,0.02581503088538092,-0.4939192442453756,-0.4502581817488304,0.047207773111174425,0.10176991150442478,0.016674878783265637,0.03605062731497256
qwen3vl_32b,internvl3_8b,between_family,2256,1031,760,433,32,-0.3013099045787725,0.19602476376669925,0.05461062235255784,-0.3272753725335902,-0.2737597620186699,0.13587262078735626,0.2580814773122297,0.03748845642091001,0.07192260863123161
qwen3vl_32b,llava_onevision_0_5b,between_family,2256,680,1111,448,17,-0.4722837476619602,0.07311827956989247,0.02581503088538092,-0.4939192442453756,-0.4502581817488304,0.047207773111174425,0.10176991150442478,0.016674878783265637,0.03605062731497256
qwen3vl_32b,llava_onevision_7b,between_family,2256,680,1111,448,17,-0.4722837476619602,0.07311827956989247,0.02581503088538092,-0.4939192442453756,-0.4502581817488304,0.047207773111174425,0.10176991150442478,0.016674878783265637,0.03605062731497256
qwen3vl_32b,smolvlm2_0_5b,between_family,2256,690,1101,447,18,-0.4660415276161788,0.07804203061489233,0.027397734152036668,-0.4878586931505673,-0.4433105709243755,0.050860278083800024,0.10769739575957879,0.01783772131424302,0.03748952234010801
qwen3vl_32b,smolvlm2_2_2b,between_family,2256,1077,714,257,208,0.04003412634255533,1.0945070323980128,0.336454178620577,-0.0017361073923321936,0.07807435952428494,0.995936630199241,1.1864379750100151,0.30524261385712886,0.36542865236058575
internvl3_2b,internvl3_8b,within_family,2256,967,161,497,631,0.43648038205257667,1.5934343434343434,0.6780571674188696,0.41148321128841003,0.461762215786247,1.557492389298893,1.630890052356021,0.6631049291362048,0.6927883900769041
internvl3_2b,llava_onevision_0_5b,between_family,2256,1128,0,0,1128,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
internvl3_2b,llava_onevision_7b,between_family,2256,1128,0,0,1128,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
internvl3_2b,smolvlm2_0_5b,between_family,2256,1126,2,11,1117,0.9885066419855723,1.996425379803396,0.9942304584260263,0.9824169324816684,0.9938189253269573,1.9910714285714286,2.0,0.9911471743725712,0.9969007471397552
internvl3_2b,smolvlm2_2_2b,between_family,2256,562,566,772,356,-0.1893546259405751,0.7722342733188721,0.3508599867694343,-0.22455239775388336,-0.15458406377770853,0.7295011956373099,0.8151283339422726,0.32926915197784473,0.37310325576329945
internvl3_8b,llava_onevision_0_5b,between_family,2256,967,497,161,631,0.43648038205257667,1.5934343434343434,0.6780571674188696,0.41148321128841003,0.461762215786247,1.557492389298893,1.630890052356021,0.6631049291362048,0.6927883900769041
internvl3_8b,llava_onevision_7b,between_family,2256,967,497,161,631,0.43648038205257667,1.5934343434343434,0.6780571674188696,0.41148321128841003,0.461762215786247,1.557492389298893,1.630890052356021,0.6631049291362048,0.6927883900769041
internvl3_8b,smolvlm2_0_5b,between_family,2256,966,498,171,621,0.4237887159377525,1.5807945405800634,0.6695253473068487,0.3984164333649037,0.4495436150675495,1.5444608534241036,1.618627016466943,0.6542959671819033,0.6849758344138139
internvl3_8b,smolvlm2_2_2b,between_family,2256,916,548,418,374,0.09505957712142352,1.1554591467823572,0.43893106772716317,0.05599604518248229,0.13401399503771466,1.0910367014468507,1.219149006863784,0.41196191985755537,0.4666254040478475
llava_onevision_0_5b,llava_onevision_7b,within_family,2256,1128,0,0,1128,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
llava_onevision_0_5b,smolvlm2_0_5b,between_family,2256,1126,2,11,1117,0.9885066419855723,1.996425379803396,0.9942304584260263,0.9824169324816684,0.9938189253269573,1.9910714285714286,2.0,0.9911471743725712,0.9969007471397552
llava_onevision_0_5b,smolvlm2_2_2b,between_family,2256,562,566,772,356,-0.1893546259405751,0.7722342733188721,0.3508599867694343,-0.22455239775388336,-0.15458406377770853,0.7295011956373099,0.8151283339422726,0.32926915197784473,0.37310325576329945
llava_onevision_7b,smolvlm2_0_5b,between_family,2256,1126,2,11,1117,0.9885066419855723,1.996425379803396,0.9942304584260263,0.9824169324816684,0.9938189253269573,1.9910714285714286,2.0,0.9911471743725712,0.9969007471397552
llava_onevision_7b,smolvlm2_2_2b,between_family,2256,562,566,772,356,-0.1893546259405751,0.7722342733188721,0.3508599867694343,-0.22455239775388336,-0.15458406377770853,0.7295011956373099,0.8151283339422726,0.32926915197784473,0.37310325576329945
