estimand,method,point,ci95_low,ci95_high,replicates
accuracy,product,0.8577127659574468,0.8463147849892773,0.8688894301741955,2000
negative_log_likelihood,product,0.4412654777819937,0.41383335422887463,0.4683064140534604,2000
unnormalized_multiclass_brier,product,0.22814121697657225,0.2137411616151735,0.24286278474967032,2000
adaptive_ece_10,product,0.05842537274944514,0.0520365244370911,0.06963175549382894,2000
ncsAURC,product,0.16535927895126154,0.16174585953901147,0.1691745427706578,2000
accuracy,nested_dirichlet,0.8648049645390071,0.8529672276350753,0.8761101243339254,2000
negative_log_likelihood,nested_dirichlet,0.4500616126010441,0.4428519946441772,0.4569688519412853,2000
unnormalized_multiclass_brier,nested_dirichlet,0.27331941172429436,0.2665473471390951,0.27980563235153694,2000
adaptive_ece_10,nested_dirichlet,0.19110915023556804,0.18251126200323767,0.20126385183230708,2000
ncsAURC,nested_dirichlet,0.16424020060799088,0.1606539342807722,0.16805370716346385,2000
accuracy,hierarchy_matched_cautious,0.8648049645390071,0.8529659268028557,0.8763252058115931,2000
negative_log_likelihood,hierarchy_matched_cautious,0.544947007102639,0.540543331863326,0.549209451928229,2000
unnormalized_multiclass_brier,hierarchy_matched_cautious,0.3551778445615593,0.3508561483687092,0.3593041477701951,2000
adaptive_ece_10,hierarchy_matched_cautious,0.2680852684891598,0.2586698597299513,0.27902301574923144,2000
ncsAURC,hierarchy_matched_cautious,0.16462471361229097,0.16069788717315803,0.16854635879077076,2000
accuracy,pact_registered_family,0.8661347517730497,0.8547308586187164,0.8774254748277839,2000
negative_log_likelihood,pact_registered_family,0.5958567109002637,0.5930598808527734,0.5985988116434094,2000
unnormalized_multiclass_brier,pact_registered_family,0.4036537894458374,0.4008925614022797,0.40637678858727133,2000
adaptive_ece_10,pact_registered_family,0.30617627198594144,0.29578964164640226,0.3168851813787112,2000
ncsAURC,pact_registered_family,0.16495748413533468,0.16135293468942413,0.1686423651334072,2000
accuracy,pact_false_split,0.8661347517730497,0.8547308586187164,0.8774254748277839,2000
negative_log_likelihood,pact_false_split,0.5971862518345629,0.5943709506624977,0.5999144845833785,2000
unnormalized_multiclass_brier,pact_false_split,0.40493044472733475,0.40214542566134326,0.40763526587004023,2000
adaptive_ece_10,pact_false_split,0.30685618873753323,0.2964447072853327,0.31759355577995607,2000
ncsAURC,pact_false_split,0.16431451705544503,0.16076520888612453,0.16811985916515354,2000
accuracy,pact_false_merge,0.762854609929078,0.748449817931306,0.7765864753864583,2000
negative_log_likelihood,pact_false_merge,0.5966155739750288,0.5931011286237602,0.6001948998112657,2000
unnormalized_multiclass_brier,pact_false_merge,0.40509811829119136,0.4016221452335429,0.40861135186888814,2000
adaptive_ece_10,pact_false_merge,0.18314487991307915,0.17621304124898454,0.19948906069858094,2000
ncsAURC,pact_false_merge,0.1714560984059739,0.16730786265902126,0.1752912322906469,2000
