setting_id,language_pmax,dirichlet_kappa,quality_multiplier,conflict_multiplier,occlusion_strength,records,dirichlet_projection_fallbacks,nested_naurc,registered_naurc,naurc_gain,ranking_preserved,nested_coverage,nested_wrong_all,nested_wrong_admitted,nested_correct_all,nested_clean_coverage,registered_coverage,registered_wrong_all,registered_wrong_admitted,registered_correct_all,registered_clean_coverage,copy_mass_max_abs_drift,unoccluded_runtime_sha256,nested_clean_none_coverage,nested_clean_none_correct_all,nested_clean_none_wrong_all,nested_clean_partial_coverage,nested_clean_partial_correct_all,nested_clean_partial_wrong_all
0,0.65,50.0,0.811791753768921,0.9199897181242704,1.0,31200,0,0.17555560288753871,0.24417203553990832,0.06861643265236961,True,0.13115384615384615,0.009647435897435898,0.07355816226783969,0.12150641025641026,0.8533333333333334,0.1314423076923077,0.016666666666666666,0.12679834186783712,0.11477564102564103,0.7016666666666667,1.4210854715202004e-14,0a8c5dadaaed96d2d5771ba472713c940a07d80e69def29e3a38d4e311c51b21,0.9683333333333334,0.8916666666666667,0.07666666666666666,0.7383333333333333,0.675,0.06333333333333334
1,0.9,100.0,1.1829387303441763,1.1969638090580703,1.0,31200,0,0.11780808203424291,0.20728485469322985,0.08947677265898694,True,0.13147435897435897,0.0,0.0,0.13147435897435897,0.83625,0.13125,0.01044871794871795,0.0796092796092796,0.12080128205128206,0.76125,1.4210854715202004e-14,785dffaa43e6dcfaaeb5513cd853bc0de8fd60cf76d267c7e521831b2ae11f0b,0.9708333333333333,0.9708333333333333,0.0,0.7016666666666667,0.7016666666666667,0.0
2,0.95,50.0,0.9726037811487913,0.8790825732052326,1.0,31200,0,0.11683561695179102,0.20407531095060566,0.08723969399881464,True,0.13163461538461538,9.615384615384615e-05,0.0007304601899196494,0.13153846153846155,0.8745833333333334,0.1308974358974359,0.010384615384615384,0.07933398628795299,0.12051282051282051,0.7545833333333334,1.4210854715202004e-14,8ebcd6f3eaf42020dcb370c98d8df635faaf5d4d4e473b0812991b28691e7d12,0.9683333333333334,0.9675,0.0008333333333333334,0.7808333333333334,0.7808333333333334,0.0
3,0.85,200.0,1.0451675221323968,1.0005459524691105,1.0,31200,0,0.11437982474330309,0.20131438616913938,0.08693456142583629,True,0.13118589743589743,6.41025641025641e-05,0.0004886391399951136,0.13112179487179487,0.8529166666666667,0.1308653846153846,0.010544871794871794,0.08057800636786676,0.12032051282051281,0.7608333333333334,1.4210854715202004e-14,4c9d1056ce249eaf13f293c39ba1be9af09bfa9d494de3d48e3651b124e8ad34,0.9675,0.9658333333333333,0.0016666666666666668,0.7383333333333333,0.7383333333333333,0.0
4,0.75,100.0,1.1091954145580531,1.09845175370574,1.0,31200,0,0.1327525280412843,0.21892978821021902,0.08617726016893473,True,0.13112179487179487,0.002692307692307692,0.02053287704717673,0.12842948717948718,0.8433333333333334,0.13105769230769232,0.011858974358974358,0.0904866715578381,0.11919871794871795,0.7541666666666667,1.4210854715202004e-14,59250455c2527cc74f5384038254f3c56cc72bfc3270956e7ad41a1261319ace,0.9691666666666666,0.95,0.019166666666666665,0.7175,0.7066666666666667,0.010833333333333334
5,0.95,200.0,0.8867052994668484,0.8215317897498609,1.0,31200,0,0.11093872560151781,0.19114697324709345,0.08020824764557564,True,0.13150641025641024,6.41025641025641e-05,0.0004874482086278333,0.1314423076923077,0.8670833333333333,0.1308653846153846,0.010576923076923078,0.08082292432035268,0.12028846153846154,0.7520833333333333,1.4210854715202004e-14,2c4d890a42068c31113b743cdc34df3ed6251ad08a63751c0f51dee9015891a1,0.9625,0.9625,0.0,0.7716666666666666,0.7716666666666666,0.0
6,0.85,50.0,1.0689331747591497,1.1020853962749244,1.0,31200,0,0.12132825656833048,0.21562088248283817,0.0942926259145077,True,0.13134615384615383,0.0004487179487179487,0.003416300634455832,0.1308974358974359,0.8475,0.13118589743589743,0.010833333333333334,0.0825800146591742,0.1203525641025641,0.7670833333333333,1.4210854715202004e-14,999c3d7bf3689bb92e7a4a70e2b148a13ce7d79456cc31ec3b0d56ef36b1c213,0.9591666666666666,0.9591666666666666,0.0,0.7358333333333333,0.7358333333333333,0.0
7,0.65,200.0,0.9476645130664111,0.9805678065866232,1.0,31200,0,0.1527895775334599,0.22842918023353448,0.07563960270007458,True,0.13076923076923078,0.005993589743589743,0.04583333333333333,0.12477564102564102,0.8508333333333333,0.13105769230769232,0.013044871794871795,0.09953533871362191,0.11801282051282051,0.7304166666666667,1.4210854715202004e-14,d13aff5f7d1f0d0e3372a8f76e8b0f07ba6b50b97e59705f18480535acbddbea,0.9675,0.9166666666666666,0.050833333333333335,0.7341666666666666,0.7058333333333333,0.028333333333333332
8,0.65,100.0,1.0920993205159903,0.83953175842762,1.0,31200,0,0.18152121447977984,0.25174873128803826,0.07022751680825842,True,0.13096153846153846,0.010128205128205128,0.07733724914341654,0.12083333333333333,0.86,0.13112179487179487,0.01701923076923077,0.1297971156196529,0.1141025641025641,0.6941666666666667,1.4210854715202004e-14,f4319636875bf07e53581d489e4400564262404a6267a4fffa37c0c6413c3aa4,0.9741666666666666,0.905,0.06916666666666667,0.7458333333333333,0.6641666666666667,0.08166666666666667
9,0.85,200.0,0.9131764650344849,1.0680264294147492,1.0,31200,0,0.10941858948173498,0.1885587197323104,0.07914013025057541,True,0.13163461538461538,3.205128205128205e-05,0.00024348672997321646,0.1316025641025641,0.8479166666666667,0.13115384615384615,0.010608974358974359,0.08088954056695992,0.12054487179487179,0.765,1.4210854715202004e-14,a0500f1e699f8a9d839e5b4a0803a355bd2ad302e69fa97ea330080ade3cb1ed,0.9708333333333333,0.9708333333333333,0.0,0.725,0.725,0.0
10,0.9,50.0,1.1297675177454949,0.9611029658466578,1.0,31200,0,0.12152745096775297,0.2118467952452297,0.09031934427747673,True,0.1307051282051282,0.0003525641025641026,0.002697400686611084,0.1303525641025641,0.85,0.13105769230769232,0.01044871794871795,0.0797260943996087,0.12060897435897436,0.7633333333333333,1.4210854715202004e-14,67c4ccaea2c8c0bb82313c24b805728eff4f0f9eac83f07f507aa04bba377db5,0.9475,0.9466666666666667,0.0008333333333333334,0.7525,0.7508333333333334,0.0016666666666666668
11,0.75,100.0,0.8524552416056395,1.134170848503709,1.0,31200,0,0.11969113290727483,0.2104240289781512,0.09073289607087638,True,0.13099358974358974,0.001314102564102564,0.010031808172253487,0.12967948717948719,0.8354166666666667,0.13121794871794873,0.011121794871794871,0.0847581827063996,0.12009615384615385,0.7620833333333333,1.4210854715202004e-14,2f9dc4d00ca681b924dde02a07f35b98c7dfba1890f75dbec8742ca5b0985650,0.9683333333333334,0.9525,0.015833333333333335,0.7025,0.7,0.0025
12,0.85,50.0,0.9884332858026028,1.1664408314973116,1.0,31200,0,0.12180719336235266,0.21661913270971742,0.09481193934736476,True,0.13112179487179487,0.0004807692307692308,0.0036665851869958446,0.13064102564102564,0.835,0.13112179487179487,0.010993589743589743,0.08384258127597165,0.12012820512820513,0.7591666666666667,1.4210854715202004e-14,57f7983d300cacd51dc5e204928de4af9732f58dd0c03ab3cfa666ecf8afec19,0.9533333333333334,0.95,0.0033333333333333335,0.7166666666666667,0.7091666666666666,0.0075
