arm,metric,clusters,training_seeds,delta,ci_low,ci_high,draws
A1_conserved_exact_m2,evidence_budget,400,5,0.0,0.0,0.0,2000
A1_conserved_exact_m2,component_count,400,5,0.0,0.0,0.0,2000
A1_conserved_exact_m4,evidence_budget,400,5,0.0,0.0,0.0,2000
A1_conserved_exact_m4,component_count,400,5,0.0,0.0,0.0,2000
A1_conserved_exact_m8,evidence_budget,400,5,3.885780586188049e-17,-2.5546231796624855e-17,1.0036971254123725e-16,2000
A1_conserved_exact_m8,component_count,400,5,0.0,0.0,0.0,2000
A2_false_split_m2,evidence_budget,400,5,5.738348750924563,5.341330214199945,6.143771435044231,2000
A2_false_split_m2,component_count,400,5,1.0,1.0,1.0,2000
A2_false_split_m4,evidence_budget,400,5,17.21504625277369,15.999856211291407,18.50932200839116,2000
A2_false_split_m4,component_count,400,5,3.0,3.0,3.0,2000
A2_false_split_m8,evidence_budget,400,5,40.168441256471944,37.34874135119442,43.118191645629125,2000
A2_false_split_m8,component_count,400,5,7.0,7.0,7.0,2000
A3_false_merge,evidence_budget,400,5,-32.469363388635514,-33.4767704845407,-31.391036108516943,2000
A3_false_merge,component_count,400,5,-5.0,-5.0,-5.0,2000
A4_registered_near_m2,evidence_budget,400,5,-0.023377370546447902,-0.025940762432158933,-0.020956050052586734,2000
A4_registered_near_m2,component_count,400,5,0.0,0.0,0.0,2000
A4_registered_near_m4,evidence_budget,400,5,-0.0527331918361584,-0.0571249699883733,-0.04841070724519342,2000
A4_registered_near_m4,component_count,400,5,0.0,0.0,0.0,2000
A4_registered_near_m8,evidence_budget,400,5,-0.07744527480430893,-0.08307293522537675,-0.07178315659268897,2000
A4_registered_near_m8,component_count,400,5,0.0,0.0,0.0,2000
