arm,metric,clusters,training_seeds,delta,ci_low,ci_high,draws
A1_conserved_exact_m2,evidence_budget,200,5,0.0,0.0,0.0,2000
A1_conserved_exact_m2,component_count,200,5,0.0,0.0,0.0,2000
A1_conserved_exact_m4,evidence_budget,200,5,0.0,0.0,0.0,2000
A1_conserved_exact_m4,component_count,200,5,0.0,0.0,0.0,2000
A1_conserved_exact_m8,evidence_budget,200,5,-7.105427357601002e-18,-2.842170943040401e-17,1.2434497875801752e-17,2000
A1_conserved_exact_m8,component_count,200,5,0.0,0.0,0.0,2000
A2_false_split_m2,evidence_budget,200,5,2.904641323786916,2.435534660089026,3.423375748879849,2000
A2_false_split_m2,component_count,200,5,1.0,1.0,1.0,2000
A2_false_split_m4,evidence_budget,200,5,8.713923971360748,7.237239706300902,10.194038726965958,2000
A2_false_split_m4,component_count,200,5,3.0,3.0,3.0,2000
A2_false_split_m8,evidence_budget,200,5,20.332489266508414,16.979568811747132,23.890226034479475,2000
A2_false_split_m8,component_count,200,5,7.0,7.0,7.0,2000
A3_false_merge,evidence_budget,200,5,-17.43718418063223,-18.196978119834167,-16.628723116840725,2000
A3_false_merge,component_count,200,5,-5.0,-5.0,-5.0,2000
A4_registered_near_m2,evidence_budget,200,5,-0.012191384663976379,-0.015020930967762953,-0.009609971841131302,2000
A4_registered_near_m2,component_count,200,5,0.0,0.0,0.0,2000
A4_registered_near_m4,evidence_budget,200,5,-0.025983297070453045,-0.030732483983949857,-0.021734823239669333,2000
A4_registered_near_m4,component_count,200,5,0.0,0.0,0.0,2000
A4_registered_near_m8,evidence_budget,200,5,-0.038247055430207205,-0.044834419913232906,-0.032087837692918966,2000
A4_registered_near_m8,component_count,200,5,0.0,0.0,0.0,2000
