arm,metric,clusters,training_seeds,delta,ci_low,ci_high,draws
A1_conserved_exact_m2,evidence_budget,136,5,0.0,0.0,0.0,2000
A1_conserved_exact_m2,component_count,136,5,0.0,0.0,0.0,2000
A1_conserved_exact_m4,evidence_budget,136,5,0.0,0.0,0.0,2000
A1_conserved_exact_m4,component_count,136,5,0.0,0.0,0.0,2000
A1_conserved_exact_m8,evidence_budget,136,5,0.0,0.0,0.0,2000
A1_conserved_exact_m8,component_count,136,5,0.0,0.0,0.0,2000
A2_false_split_m2,evidence_budget,136,5,5.095136144746965,4.523816005966233,5.717460583203511,2000
A2_false_split_m2,component_count,136,5,1.0,1.0,1.0,2000
A2_false_split_m4,evidence_budget,136,5,15.285408434240894,13.622524355461188,17.089445451182154,2000
A2_false_split_m4,component_count,136,5,3.0,3.0,3.0,2000
A2_false_split_m8,evidence_budget,136,5,35.66595301322875,31.810069647870563,39.80999119757824,2000
A2_false_split_m8,component_count,136,5,7.0,7.0,7.0,2000
A3_false_merge,evidence_budget,136,5,-15.638995728369594,-16.731644787885326,-14.562892547733073,2000
A3_false_merge,component_count,136,5,-2.0,-2.0,-2.0,2000
A4_registered_near_m2,evidence_budget,136,5,-0.019890452394933728,-0.02357453430860371,-0.017155506027072918,2000
A4_registered_near_m2,component_count,136,5,0.0,0.0,0.0,2000
A4_registered_near_m4,evidence_budget,136,5,-0.047288444899059826,-0.053869931771181344,-0.0407467412463968,2000
A4_registered_near_m4,component_count,136,5,0.0,0.0,0.0,2000
A4_registered_near_m8,evidence_budget,136,5,-0.06991905872162218,-0.07990572079390643,-0.060884071465328274,2000
A4_registered_near_m8,component_count,136,5,0.0,0.0,0.0,2000
