left_model,left_prompt,right_model,right_prompt,left_family,right_family,relation,n,n11,n10,n01,n00,joint_error_rate,conditional_coerror_left_to_right,conditional_coerror_right_to_left,conditional_coerror_symmetric,error_phi,error_cooccurrence_lift
qwen3vl_8b,canonical,qwen3vl_8b,wrapper_paraphrase,Qwen3-VL,Qwen3-VL,within_family,84,6,10,0,68,0.07142857142857142,0.375,1.0,0.6875,0.5717718748968657,5.250000000000001
qwen3vl_8b,canonical,qwen3vl_8b,rules_first,Qwen3-VL,Qwen3-VL,within_family,84,11,5,0,68,0.13095238095238096,0.6875,1.0,0.84375,0.8002568080960696,5.25
qwen3vl_8b,canonical,qwen3vl_8b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,11,5,1,67,0.13095238095238096,0.6875,0.9166666666666666,0.8020833333333333,0.7549875015197142,4.812500000000001
qwen3vl_8b,canonical,qwen3vl_32b,canonical,Qwen3-VL,Qwen3-VL,within_family,84,7,9,5,63,0.08333333333333333,0.4375,0.5833333333333334,0.5104166666666667,0.4084358614778782,3.0625000000000004
qwen3vl_8b,canonical,qwen3vl_32b,wrapper_paraphrase,Qwen3-VL,Qwen3-VL,within_family,84,10,6,5,63,0.11904761904761904,0.625,0.6666666666666666,0.6458333333333333,0.5654140912898757,3.5
qwen3vl_8b,canonical,qwen3vl_32b,rules_first,Qwen3-VL,Qwen3-VL,within_family,84,6,10,3,65,0.07142857142857142,0.375,0.6666666666666666,0.5208333333333333,0.42008402520840293,3.5
qwen3vl_8b,canonical,qwen3vl_32b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,10,6,7,61,0.11904761904761904,0.625,0.5882352941176471,0.6066176470588236,0.5102370911351571,3.088235294117647
qwen3vl_8b,canonical,internvl3_8b,canonical,Qwen3-VL,InternVL3,between_family,84,15,1,12,56,0.17857142857142858,0.9375,0.5555555555555556,0.7465277777777778,0.6398771166858558,2.916666666666667
qwen3vl_8b,canonical,internvl3_8b,wrapper_paraphrase,Qwen3-VL,InternVL3,between_family,84,16,0,30,38,0.19047619047619047,1.0,0.34782608695652173,0.6739130434782609,0.4408779893967569,1.826086956521739
qwen3vl_8b,canonical,internvl3_8b,rules_first,Qwen3-VL,InternVL3,between_family,84,11,5,3,65,0.13095238095238096,0.6875,0.7857142857142857,0.7366071428571428,0.6779076806833005,4.125
qwen3vl_8b,canonical,internvl3_8b,schema_first,Qwen3-VL,InternVL3,between_family,84,13,3,7,61,0.15476190476190477,0.8125,0.65,0.73125,0.654180911859385,3.4125000000000005
qwen3vl_8b,canonical,llava_onevision_7b,canonical,Qwen3-VL,LLaVA-OneVision,between_family,84,13,3,30,38,0.15476190476190477,0.8125,0.3023255813953488,0.5574127906976745,0.29170290976948166,1.5872093023255816
qwen3vl_8b,canonical,llava_onevision_7b,wrapper_paraphrase,Qwen3-VL,LLaVA-OneVision,between_family,84,14,2,28,40,0.16666666666666666,0.875,0.3333333333333333,0.6041666666666666,0.36380343755449945,1.75
qwen3vl_8b,canonical,llava_onevision_7b,rules_first,Qwen3-VL,LLaVA-OneVision,between_family,84,13,3,43,25,0.15476190476190477,0.8125,0.23214285714285715,0.5223214285714286,0.15006126199969524,1.21875
qwen3vl_8b,canonical,llava_onevision_7b,schema_first,Qwen3-VL,LLaVA-OneVision,between_family,84,13,3,36,32,0.15476190476190477,0.8125,0.2653061224489796,0.5389030612244898,0.22547801696496664,1.3928571428571428
qwen3vl_8b,wrapper_paraphrase,qwen3vl_8b,rules_first,Qwen3-VL,Qwen3-VL,within_family,84,6,0,5,73,0.07142857142857142,1.0,0.5454545454545454,0.7727272727272727,0.7144854865492444,7.636363636363636
qwen3vl_8b,wrapper_paraphrase,qwen3vl_8b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,6,0,6,72,0.07142857142857142,1.0,0.5,0.75,0.6793662204867574,7.0
qwen3vl_8b,wrapper_paraphrase,qwen3vl_32b,canonical,Qwen3-VL,Qwen3-VL,within_family,84,6,0,6,72,0.07142857142857142,1.0,0.5,0.75,0.6793662204867574,7.0
qwen3vl_8b,wrapper_paraphrase,qwen3vl_32b,wrapper_paraphrase,Qwen3-VL,Qwen3-VL,within_family,84,6,0,9,69,0.07142857142857142,1.0,0.4,0.7,0.5948496901286525,5.6
qwen3vl_8b,wrapper_paraphrase,qwen3vl_32b,rules_first,Qwen3-VL,Qwen3-VL,within_family,84,6,0,3,75,0.07142857142857142,1.0,0.6666666666666666,0.8333333333333333,0.8006407690254357,9.333333333333334
qwen3vl_8b,wrapper_paraphrase,qwen3vl_32b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,6,0,11,67,0.07142857142857142,1.0,0.35294117647058826,0.6764705882352942,0.5506064118900902,4.9411764705882355
qwen3vl_8b,wrapper_paraphrase,internvl3_8b,canonical,Qwen3-VL,InternVL3,between_family,84,6,0,21,57,0.07142857142857142,1.0,0.2222222222222222,0.6111111111111112,0.40298034988465925,3.1111111111111107
qwen3vl_8b,wrapper_paraphrase,internvl3_8b,wrapper_paraphrase,Qwen3-VL,InternVL3,between_family,84,6,0,40,38,0.07142857142857142,1.0,0.13043478260869565,0.5652173913043478,0.2520816345981441,1.826086956521739
qwen3vl_8b,wrapper_paraphrase,internvl3_8b,rules_first,Qwen3-VL,InternVL3,between_family,84,6,0,8,70,0.07142857142857142,1.0,0.42857142857142855,0.7142857142857143,0.6201736729460423,6.0
qwen3vl_8b,wrapper_paraphrase,internvl3_8b,schema_first,Qwen3-VL,InternVL3,between_family,84,5,1,15,63,0.05952380952380952,0.8333333333333334,0.25,0.5416666666666667,0.38760854559127644,3.5
qwen3vl_8b,wrapper_paraphrase,llava_onevision_7b,canonical,Qwen3-VL,LLaVA-OneVision,between_family,84,6,0,37,41,0.07142857142857142,1.0,0.13953488372093023,0.5697674418604651,0.27082329920405857,1.9534883720930236
qwen3vl_8b,wrapper_paraphrase,llava_onevision_7b,wrapper_paraphrase,Qwen3-VL,LLaVA-OneVision,between_family,84,6,0,36,42,0.07142857142857142,1.0,0.14285714285714285,0.5714285714285714,0.2773500981126146,2.0
qwen3vl_8b,wrapper_paraphrase,llava_onevision_7b,rules_first,Qwen3-VL,LLaVA-OneVision,between_family,84,6,0,50,28,0.07142857142857142,1.0,0.10714285714285714,0.5535714285714286,0.19611613513818404,1.5
qwen3vl_8b,wrapper_paraphrase,llava_onevision_7b,schema_first,Qwen3-VL,LLaVA-OneVision,between_family,84,6,0,43,35,0.07142857142857142,1.0,0.12244897959183673,0.5612244897959183,0.2344036154692477,1.7142857142857142
qwen3vl_8b,rules_first,qwen3vl_8b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,11,0,1,72,0.13095238095238096,1.0,0.9166666666666666,0.9583333333333333,0.9508467747440151,7.0
qwen3vl_8b,rules_first,qwen3vl_32b,canonical,Qwen3-VL,Qwen3-VL,within_family,84,6,5,6,67,0.07142857142857142,0.5454545454545454,0.5,0.5227272727272727,0.44660984874340104,3.818181818181818
qwen3vl_8b,rules_first,qwen3vl_32b,wrapper_paraphrase,Qwen3-VL,Qwen3-VL,within_family,84,10,1,5,68,0.11904761904761904,0.9090909090909091,0.6666666666666666,0.7878787878787878,0.7404160515515603,5.09090909090909
qwen3vl_8b,rules_first,qwen3vl_32b,rules_first,Qwen3-VL,Qwen3-VL,within_family,84,6,5,3,70,0.07142857142857142,0.5454545454545454,0.6666666666666666,0.606060606060606,0.5501047109652416,5.090909090909091
qwen3vl_8b,rules_first,qwen3vl_32b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,10,1,7,66,0.11904761904761904,0.9090909090909091,0.5882352941176471,0.7486631016042781,0.682800053696289,4.491978609625668
qwen3vl_8b,rules_first,internvl3_8b,canonical,Qwen3-VL,InternVL3,between_family,84,11,0,16,57,0.13095238095238096,1.0,0.4074074074074074,0.7037037037037037,0.5640147455351912,3.1111111111111107
qwen3vl_8b,rules_first,internvl3_8b,wrapper_paraphrase,Qwen3-VL,InternVL3,between_family,84,11,0,35,38,0.13095238095238096,1.0,0.2391304347826087,0.6195652173913043,0.3528156125544615,1.8260869565217388
qwen3vl_8b,rules_first,internvl3_8b,rules_first,Qwen3-VL,InternVL3,between_family,84,11,0,3,70,0.13095238095238096,1.0,0.7857142857142857,0.8928571428571428,0.8680003787638844,6.000000000000001
qwen3vl_8b,rules_first,internvl3_8b,schema_first,Qwen3-VL,InternVL3,between_family,84,10,1,10,63,0.11904761904761904,0.9090909090909091,0.5,0.7045454545454546,0.6115457214018276,3.818181818181818
qwen3vl_8b,rules_first,llava_onevision_7b,canonical,Qwen3-VL,LLaVA-OneVision,between_family,84,11,0,32,41,0.13095238095238096,1.0,0.2558139534883721,0.627906976744186,0.37904660668764006,1.9534883720930234
qwen3vl_8b,rules_first,llava_onevision_7b,wrapper_paraphrase,Qwen3-VL,LLaVA-OneVision,between_family,84,11,0,31,42,0.13095238095238096,1.0,0.2619047619047619,0.6309523809523809,0.38818157028232203,2.0
qwen3vl_8b,rules_first,llava_onevision_7b,rules_first,Qwen3-VL,LLaVA-OneVision,between_family,84,11,0,45,28,0.13095238095238096,1.0,0.19642857142857142,0.5982142857142857,0.2744858206782723,1.5000000000000002
qwen3vl_8b,rules_first,llava_onevision_7b,schema_first,Qwen3-VL,LLaVA-OneVision,between_family,84,11,0,38,35,0.13095238095238096,1.0,0.22448979591836735,0.6122448979591837,0.32807330573130117,1.7142857142857142
qwen3vl_8b,schema_first,qwen3vl_32b,canonical,Qwen3-VL,Qwen3-VL,within_family,84,6,6,6,66,0.07142857142857142,0.5,0.5,0.5,0.4166666666666667,3.5
qwen3vl_8b,schema_first,qwen3vl_32b,wrapper_paraphrase,Qwen3-VL,Qwen3-VL,within_family,84,11,1,4,68,0.13095238095238096,0.9166666666666666,0.7333333333333333,0.825,0.7867665538811104,5.133333333333334
qwen3vl_8b,schema_first,qwen3vl_32b,rules_first,Qwen3-VL,Qwen3-VL,within_family,84,6,6,3,69,0.07142857142857142,0.5,0.6666666666666666,0.5833333333333333,0.5185449728701348,4.666666666666667
