multiplicity,method,ncsaurc_0p10_0p39,bootstrap_mean,ci_low,ci_high,coverage_at_0p13,wrong_all_at_0p13,correct_all_at_0p13,mean_absolute_score_drift_vs_m1,maximum_absolute_score_drift_vs_m1,mean_posterior_l1_drift_vs_m1,maximum_posterior_l1_drift_vs_m1,mean_expanded_observed_opinion_count
1,pact_registered,0.6488988790621325,0.6486701894477831,0.6381610822422538,0.658857156165114,0.13076923076923078,0.09974358974358974,0.031025641025641027,0.0,0.0,0.0,0.0,2.4615384615384617
1,pact_singleton,0.4292671910804898,0.428970461617014,0.416635098574972,0.44095936319453327,0.13147435897435897,0.05342948717948718,0.0780448717948718,0.0,0.0,0.0,0.0,2.4615384615384617
1,pact_all_merge,0.5890379804520529,0.5889193169413655,0.5766399921685392,0.601099048310238,0.12958333333333333,0.07048076923076924,0.0591025641025641,0.0,0.0,0.0,0.0,2.4615384615384617
1,nested_unaware,0.3795544515360131,0.3792705240819637,0.3695434114362546,0.388711513316761,0.13173076923076923,0.04083333333333333,0.0908974358974359,0.0,0.0,0.0,0.0,2.4615384615384617
2,pact_registered,0.6488988790621325,0.6487537640638713,0.6385564920460005,0.6592707750279335,0.13076923076923078,0.09974358974358974,0.031025641025641027,0.13432485745507178,0.1721366802490712,0.0,0.0,3.3076923076923075
2,pact_singleton,0.7035585138968651,0.703301275927393,0.6845200754034235,0.7224199606936468,0.1317628205128205,0.09990384615384615,0.03185897435897436,0.12311939366800918,0.2736960661800452,0.08253421996239009,0.2934188995807993,3.3076923076923075
2,pact_all_merge,0.5890379804520529,0.589055345258116,0.5773347482802693,0.6011538683883821,0.12958333333333333,0.07048076923076924,0.0591025641025641,0.13436528507631104,0.17213667971693364,0.0,0.0,3.3076923076923075
2,nested_unaware,0.7017947375963328,0.7017474784781623,0.6868166207529336,0.7169383040057233,0.1305128205128205,0.10051282051282051,0.03,0.11517942237640812,0.3278932046053821,0.10756432710223314,0.557623793004042,3.3076923076923075
4,pact_registered,0.6488988790621325,0.6488504833600514,0.6384625471675504,0.6586177190139573,0.13076923076923078,0.09974358974358974,0.031025641025641027,0.34293181049468036,0.47893646752603203,0.0,0.0,5.0
4,pact_singleton,0.8144206378032806,0.8144587719723013,0.7950723557055662,0.835138327457735,0.13044871794871796,0.11330128205128205,0.0171474358974359,0.348780699783946,0.6356881329940249,0.18437677132185684,0.6105516758655811,5.0
4,pact_all_merge,0.5890379804520529,0.5890010987099645,0.577025456697084,0.5999823360713445,0.12958333333333333,0.07048076923076924,0.0591025641025641,0.3326392599537061,0.4604317124022806,0.0,0.0,5.0
4,nested_unaware,0.8567402322657335,0.8565991529340681,0.8431524152131153,0.8714742304215721,0.1293269230769231,0.1142948717948718,0.015032051282051283,0.32793904954073927,0.6074317292598946,0.26220594103903994,1.1994580929384329,5.0
8,pact_registered,0.6488988790621325,0.6487577423126009,0.637920435200627,0.6586736367325717,0.13076923076923078,0.09974358974358974,0.031025641025641027,0.46486163596168084,0.7805780473221963,0.0,0.0,8.384615384615385
8,pact_singleton,0.9269024942986266,0.9274711852443845,0.9121231002085267,0.9410570377587629,0.128525641025641,0.12291666666666666,0.005608974358974359,0.5152002448216606,0.8471818152041553,0.28695212838092593,0.8888315320273394,8.384615384615385
8,pact_all_merge,0.5890379804520529,0.5889769904855325,0.5762364055675344,0.6007750200226606,0.12958333333333333,0.07048076923076924,0.0591025641025641,0.4424231357862957,0.6408417201770762,0.0,0.0,8.384615384615385
8,nested_unaware,0.9031974080048656,0.903568664273085,0.8928739547427492,0.9134580234632056,0.12862179487179487,0.12278846153846154,0.005833333333333334,0.5144142758546558,0.8067755193258974,0.4335598290681977,1.4432282224413429,8.384615384615385
16,pact_registered,0.6488988790621325,0.649027984107155,0.6389889716671929,0.6591326660607799,0.13076923076923078,0.09974358974358974,0.031025641025641027,0.4762123344306882,0.8146467330093361,0.0,0.0,15.153846153846153
16,pact_singleton,0.9348787856020593,0.935211297644313,0.9204416202114144,0.9496202858469415,0.1283653846153846,0.12301282051282052,0.005352564102564103,0.5341504104702931,0.8786228753580272,0.3715418230242619,1.0938273762875501,15.153846153846153
16,pact_all_merge,0.5890379804520529,0.5891833789914768,0.5771907578428173,0.60151056967616,0.12958333333333333,0.07048076923076924,0.0591025641025641,0.45243868110091845,0.662660467463193,0.0,0.0,15.153846153846153
16,nested_unaware,0.896139162937368,0.8965422232534174,0.884456840042879,0.9098677622831273,0.13016025641025641,0.12198717948717949,0.008173076923076924,0.5465613117212255,0.8881413880823102,0.6126446237929501,1.4817500935635837,15.153846153846153
32,pact_registered,0.6488988790621325,0.6490000152365858,0.6389311733823275,0.6585819770980623,0.13076923076923078,0.09974358974358974,0.031025641025641027,0.4762731591346295,0.8147899469240546,0.0,0.0,28.692307692307693
32,pact_singleton,0.9331982480179567,0.9335036066766657,0.9179587625962796,0.9481411096030691,0.1294551282051282,0.12294871794871795,0.0065064102564102565,0.5342692480562335,0.8788154068299391,0.4303961557778571,1.2308360154335811,28.692307692307693
32,pact_all_merge,0.5890388610165389,0.589146982189335,0.5769469142078858,0.6009295280749096,0.12958333333333333,0.07048076923076924,0.0591025641025641,0.452492646846892,0.6627957598604922,0.0,0.0,28.692307692307693
32,nested_unaware,0.8923893542280469,0.8928805345536163,0.8768182134781518,0.9094004633759385,0.13102564102564102,0.11532051282051282,0.015705128205128205,0.5469013265389558,0.8886133990063029,0.7882576995417248,1.6033112980706004,28.692307692307693
