multiplicity,method,ncsaurc_0p10_0p39,bootstrap_mean,ci_low,ci_high,coverage_at_0p13,wrong_all_at_0p13,correct_all_at_0p13,mean_absolute_score_drift_vs_m1,maximum_absolute_score_drift_vs_m1,mean_posterior_l1_drift_vs_m1,maximum_posterior_l1_drift_vs_m1,mean_expanded_observed_opinion_count
1,pact_registered,0.776297187923261,0.7760752598995387,0.7652178615181765,0.7868786011877053,0.1301923076923077,0.10913461538461539,0.02105769230769231,0.0,0.0,0.0,0.0,2.4615384615384617
1,pact_singleton,0.6638355450449422,0.6633600541041983,0.6489188401333346,0.6774582291149652,0.13067307692307692,0.09647435897435898,0.03419871794871795,0.0,0.0,0.0,0.0,2.4615384615384617
1,pact_all_merge,0.6365475618667488,0.6367742317586513,0.629441761779895,0.6447524949539415,0.1292628205128205,0.09137820512820513,0.037884615384615385,0.0,0.0,0.0,0.0,2.4615384615384617
1,nested_unaware,0.6038463398870473,0.6034982084654882,0.5957142177189874,0.6110535292963875,0.13102564102564102,0.08522435897435897,0.045801282051282054,0.0,0.0,0.0,0.0,2.4615384615384617
2,pact_registered,0.776297187923261,0.7761423340403851,0.7646479072693491,0.7870483549192836,0.1301923076923077,0.10913461538461539,0.02105769230769231,0.0,0.0,0.0,0.0,3.3076923076923075
2,pact_singleton,0.6855469773342769,0.6855043618946309,0.6692689126814063,0.7021865784206645,0.13134615384615383,0.09698717948717948,0.03435897435897436,0.028263311926951046,0.12876992243607308,0.08253421996239009,0.2934188995807993,3.3076923076923075
2,pact_all_merge,0.6365475618667488,0.6367536632140426,0.6296688268980749,0.6441844168055076,0.1292628205128205,0.09137820512820513,0.037884615384615385,0.0,0.0,0.0,0.0,3.3076923076923075
2,nested_unaware,0.6469594180716219,0.6472913951390095,0.6328081251262793,0.6625299525467381,0.1303525641025641,0.0835897435897436,0.04676282051282051,0.03787266299872907,0.1927262340621027,0.10756432710223314,0.557623793004042,3.3076923076923075
4,pact_registered,0.776297187923261,0.7760726615254455,0.7653822256001362,0.7867664074934407,0.1301923076923077,0.10913461538461539,0.02105769230769231,0.0,0.0,0.0,0.0,5.0
4,pact_singleton,0.8635808239867071,0.863356345022499,0.8489380878427416,0.8777600664934214,0.1293269230769231,0.11,0.01932692307692308,0.06466446014926855,0.2321931472900465,0.18437677132185684,0.6105516758655811,5.0
4,pact_all_merge,0.6365475618667488,0.6365560253757624,0.6297550086801397,0.6441558677322635,0.1292628205128205,0.09137820512820513,0.037884615384615385,0.0,0.0,0.0,0.0,5.0
4,nested_unaware,0.8434657557873226,0.8431421330347305,0.830526010672707,0.8555692434670189,0.1294871794871795,0.10897435897435898,0.020512820512820513,0.07480723387939583,0.2694619601236422,0.26220594103903994,1.1994580929384329,5.0
8,pact_registered,0.776297187923261,0.7761796278654304,0.7650033886903834,0.7872501669047083,0.1301923076923077,0.10913461538461539,0.02105769230769231,0.0,0.0,0.0,0.0,8.384615384615385
8,pact_singleton,0.9313383249516501,0.931409249164509,0.9213732523694718,0.9405441324268446,0.1301923076923077,0.1282371794871795,0.001955128205128205,0.08562855434825935,0.2559099574519834,0.28695212838092593,0.8888315320273394,8.384615384615385
8,pact_all_merge,0.6365475618667488,0.6366199679308161,0.6296474671772656,0.6440116738966978,0.1292628205128205,0.09137820512820513,0.037884615384615385,0.0,0.0,0.0,0.0,8.384615384615385
8,nested_unaware,0.8731167502378283,0.8728843019731964,0.86503025382551,0.8809101831727074,0.12971153846153846,0.12291666666666666,0.006794871794871795,0.0967217889512363,0.3598404932776511,0.4335598290681977,1.4432282224413429,8.384615384615385
16,pact_registered,0.776297187923261,0.7763154986908364,0.7655510720103893,0.7871059120135684,0.1301923076923077,0.10913461538461539,0.02105769230769231,0.0,0.0,0.0,0.0,15.153846153846153
16,pact_singleton,0.9299356619119042,0.9298980886580308,0.9225492937415709,0.9364019774836169,0.12993589743589742,0.12887820512820514,0.0010576923076923077,0.09541269368101574,0.30263384963935974,0.3715418230242619,1.0938273762875501,15.153846153846153
16,pact_all_merge,0.6365475618667488,0.6366710481637841,0.629511958646547,0.6441627318319676,0.1292628205128205,0.09137820512820513,0.037884615384615385,0.0,0.0,0.0,0.0,15.153846153846153
16,nested_unaware,0.8517471758582288,0.8517999331480741,0.8432594547101017,0.8603898789885853,0.13044871794871796,0.11868589743589744,0.011762820512820512,0.13035808072717217,0.47076303980414913,0.6126446237929501,1.4817500935635837,15.153846153846153
32,pact_registered,0.776297187923261,0.7761397814060683,0.765161242364796,0.7867369013471677,0.1301923076923077,0.10913461538461539,0.02105769230769231,0.0,0.0,0.0,0.0,28.692307692307693
32,pact_singleton,0.9016498901419198,0.9018090213695591,0.8923046752256507,0.9106283506935355,0.12916666666666668,0.12371794871794872,0.0054487179487179484,0.09893849351672548,0.33880420901043934,0.4303961557778571,1.2308360154335811,28.692307692307693
32,pact_all_merge,0.6365475618667488,0.6365630681487315,0.629640300680883,0.6447329623827397,0.1292628205128205,0.09137820512820513,0.037884615384615385,0.0,0.0,0.0,0.0,28.692307692307693
32,nested_unaware,0.8047068385104261,0.8051312437946944,0.7898390141433917,0.8197304317114392,0.13147435897435897,0.10628205128205129,0.02519230769230769,0.1622645682367842,0.5126873409459557,0.7882576995417248,1.6033112980706004,28.692307692307693
