model,method,sid,records,admitted,correct_admitted,wrong_admitted,coverage,correct_all,wrong_all,ready_factual_recall
qwen3vl_8b,candidate_only,S6759,120,27,5,22,0.225,0.041666666666666664,0.18333333333333332,0.5
qwen3vl_8b,candidate_only,S7025,120,22,10,12,0.18333333333333332,0.08333333333333333,0.1,1.0
qwen3vl_8b,candidate_only,S7414,120,33,10,23,0.275,0.08333333333333333,0.19166666666666668,1.0
qwen3vl_8b,candidate_only,S7788,120,20,9,11,0.16666666666666666,0.075,0.09166666666666666,0.9
qwen3vl_8b,candidate_only,S8940,120,25,10,15,0.20833333333333334,0.08333333333333333,0.125,1.0
qwen3vl_8b,candidate_only,S8975,120,17,9,8,0.14166666666666666,0.075,0.06666666666666667,0.9
qwen3vl_8b,target_identity,S6759,120,7,5,2,0.058333333333333334,0.041666666666666664,0.016666666666666666,0.5
qwen3vl_8b,target_identity,S7025,120,16,10,6,0.13333333333333333,0.08333333333333333,0.05,1.0
qwen3vl_8b,target_identity,S7414,120,12,10,2,0.1,0.08333333333333333,0.016666666666666666,1.0
qwen3vl_8b,target_identity,S7788,120,19,9,10,0.15833333333333333,0.075,0.08333333333333333,0.9
qwen3vl_8b,target_identity,S8940,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_8b,target_identity,S8975,120,14,9,5,0.11666666666666667,0.075,0.041666666666666664,0.9
qwen3vl_8b,event_proximity,S6759,120,25,5,20,0.20833333333333334,0.041666666666666664,0.16666666666666666,0.5
qwen3vl_8b,event_proximity,S7025,120,15,10,5,0.125,0.08333333333333333,0.041666666666666664,1.0
qwen3vl_8b,event_proximity,S7414,120,20,10,10,0.16666666666666666,0.08333333333333333,0.08333333333333333,1.0
qwen3vl_8b,event_proximity,S7788,120,9,7,2,0.075,0.058333333333333334,0.016666666666666666,0.7
qwen3vl_8b,event_proximity,S8940,120,25,10,15,0.20833333333333334,0.08333333333333333,0.125,1.0
qwen3vl_8b,event_proximity,S8975,120,11,9,2,0.09166666666666666,0.075,0.016666666666666666,0.9
qwen3vl_8b,combined,S6759,120,5,5,0,0.041666666666666664,0.041666666666666664,0.0,0.5
qwen3vl_8b,combined,S7025,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_8b,combined,S7414,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_8b,combined,S7788,120,8,7,1,0.06666666666666667,0.058333333333333334,0.008333333333333333,0.7
qwen3vl_8b,combined,S8940,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_8b,combined,S8975,120,9,9,0,0.075,0.075,0.0,0.9
qwen3vl_32b,candidate_only,S6759,120,23,7,16,0.19166666666666668,0.058333333333333334,0.13333333333333333,0.7
qwen3vl_32b,candidate_only,S7025,120,18,10,8,0.15,0.08333333333333333,0.06666666666666667,1.0
qwen3vl_32b,candidate_only,S7414,120,40,10,30,0.3333333333333333,0.08333333333333333,0.25,1.0
qwen3vl_32b,candidate_only,S7788,120,19,10,9,0.15833333333333333,0.08333333333333333,0.075,1.0
qwen3vl_32b,candidate_only,S8940,120,19,10,9,0.15833333333333333,0.08333333333333333,0.075,1.0
qwen3vl_32b,candidate_only,S8975,120,24,10,14,0.2,0.08333333333333333,0.11666666666666667,1.0
qwen3vl_32b,target_identity,S6759,120,9,7,2,0.075,0.058333333333333334,0.016666666666666666,0.7
qwen3vl_32b,target_identity,S7025,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_32b,target_identity,S7414,120,11,10,1,0.09166666666666666,0.08333333333333333,0.008333333333333333,1.0
qwen3vl_32b,target_identity,S7788,120,19,10,9,0.15833333333333333,0.08333333333333333,0.075,1.0
qwen3vl_32b,target_identity,S8940,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_32b,target_identity,S8975,120,20,10,10,0.16666666666666666,0.08333333333333333,0.08333333333333333,1.0
qwen3vl_32b,event_proximity,S6759,120,17,7,10,0.14166666666666666,0.058333333333333334,0.08333333333333333,0.7
qwen3vl_32b,event_proximity,S7025,120,18,10,8,0.15,0.08333333333333333,0.06666666666666667,1.0
qwen3vl_32b,event_proximity,S7414,120,21,10,11,0.175,0.08333333333333333,0.09166666666666666,1.0
qwen3vl_32b,event_proximity,S7788,120,8,7,1,0.06666666666666667,0.058333333333333334,0.008333333333333333,0.7
qwen3vl_32b,event_proximity,S8940,120,19,10,9,0.15833333333333333,0.08333333333333333,0.075,1.0
qwen3vl_32b,event_proximity,S8975,120,14,10,4,0.11666666666666667,0.08333333333333333,0.03333333333333333,1.0
qwen3vl_32b,combined,S6759,120,7,7,0,0.058333333333333334,0.058333333333333334,0.0,0.7
qwen3vl_32b,combined,S7025,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_32b,combined,S7414,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_32b,combined,S7788,120,8,7,1,0.06666666666666667,0.058333333333333334,0.008333333333333333,0.7
qwen3vl_32b,combined,S8940,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
qwen3vl_32b,combined,S8975,120,10,10,0,0.08333333333333333,0.08333333333333333,0.0,1.0
internvl3_8b,candidate_only,S6759,120,2,2,0,0.016666666666666666,0.016666666666666666,0.0,0.2
internvl3_8b,candidate_only,S7025,120,19,3,16,0.15833333333333333,0.025,0.13333333333333333,0.3
internvl3_8b,candidate_only,S7414,120,14,3,11,0.11666666666666667,0.025,0.09166666666666666,0.3
internvl3_8b,candidate_only,S7788,120,37,10,27,0.30833333333333335,0.08333333333333333,0.225,1.0
internvl3_8b,candidate_only,S8940,120,2,0,2,0.016666666666666666,0.0,0.016666666666666666,0.0
internvl3_8b,candidate_only,S8975,120,24,9,15,0.2,0.075,0.125,0.9
internvl3_8b,target_identity,S6759,120,2,2,0,0.016666666666666666,0.016666666666666666,0.0,0.2
internvl3_8b,target_identity,S7025,120,3,3,0,0.025,0.025,0.0,0.3
internvl3_8b,target_identity,S7414,120,3,3,0,0.025,0.025,0.0,0.3
