model,id,event_id,episode_id,sid,window,condition,query_target_sid,candidate_only,target_identity,event_proximity,combined,event_proximity_probability,reference_admit
qwen3vl_8b,habit_cf_0001,004948_01,004948,S6759,early,factual,S6759,False,False,False,False,0.15308127076882982,False
qwen3vl_8b,habit_cf_0002,004948_01,004948,S6759,early,counterfactual,S7414,False,False,False,False,0.15308127076882982,False
qwen3vl_8b,habit_cf_0003,004948_01,004948,S6759,ready,factual,S6759,False,False,False,False,0.8384648946822499,True
qwen3vl_8b,habit_cf_0004,004948_01,004948,S6759,ready,counterfactual,S7414,True,False,True,False,0.8384648946822499,False
qwen3vl_8b,habit_cf_0005,004949_01,004949,S6759,early,factual,S6759,True,True,False,False,0.13048453457444595,False
qwen3vl_8b,habit_cf_0006,004949_01,004949,S6759,early,counterfactual,S7414,False,False,False,False,0.13048453457444595,False
qwen3vl_8b,habit_cf_0007,004949_01,004949,S6759,ready,factual,S6759,True,True,True,True,0.8842966714126388,True
qwen3vl_8b,habit_cf_0008,004949_01,004949,S6759,ready,counterfactual,S7414,True,False,True,False,0.8842966714126388,False
qwen3vl_8b,habit_cf_0009,004951_01,004951,S6759,early,factual,S6759,False,False,False,False,0.15175626103596065,False
qwen3vl_8b,habit_cf_0010,004951_01,004951,S6759,early,counterfactual,S7414,False,False,False,False,0.15175626103596065,False
qwen3vl_8b,habit_cf_0011,004951_01,004951,S6759,ready,factual,S6759,True,True,True,True,0.9351768611083192,True
qwen3vl_8b,habit_cf_0012,004951_01,004951,S6759,ready,counterfactual,S7414,True,False,True,False,0.9351768611083192,False
qwen3vl_8b,habit_cf_0013,004952_01,004952,S6759,early,factual,S6759,False,False,False,False,0.056116241526315086,False
qwen3vl_8b,habit_cf_0014,004952_01,004952,S6759,early,counterfactual,S7414,False,False,False,False,0.056116241526315086,False
qwen3vl_8b,habit_cf_0015,004952_01,004952,S6759,ready,factual,S6759,False,False,False,False,0.8578653177788428,True
qwen3vl_8b,habit_cf_0016,004952_01,004952,S6759,ready,counterfactual,S7414,True,False,True,False,0.8578653177788428,False
qwen3vl_8b,habit_cf_0017,004953_01,004953,S6759,early,factual,S6759,False,False,False,False,0.11118390400204595,False
qwen3vl_8b,habit_cf_0018,004953_01,004953,S6759,early,counterfactual,S7414,False,False,False,False,0.11118390400204595,False
qwen3vl_8b,habit_cf_0019,004953_01,004953,S6759,ready,factual,S6759,False,False,False,False,0.9180686525454822,True
qwen3vl_8b,habit_cf_0020,004953_01,004953,S6759,ready,counterfactual,S7414,False,False,False,False,0.9180686525454822,False
qwen3vl_8b,habit_cf_0021,004954_01,004954,S6759,early,factual,S6759,False,False,False,False,0.08374231253656353,False
qwen3vl_8b,habit_cf_0022,004954_01,004954,S6759,early,counterfactual,S7414,False,False,False,False,0.08374231253656353,False
qwen3vl_8b,habit_cf_0023,004954_01,004954,S6759,ready,factual,S6759,False,False,False,False,0.8716693864517571,True
qwen3vl_8b,habit_cf_0024,004954_01,004954,S6759,ready,counterfactual,S7414,False,False,False,False,0.8716693864517571,False
qwen3vl_8b,habit_cf_0025,004956_01,004956,S6759,early,factual,S6759,False,False,False,False,0.05278341147136873,False
qwen3vl_8b,habit_cf_0026,004956_01,004956,S6759,early,counterfactual,S7414,False,False,False,False,0.05278341147136873,False
qwen3vl_8b,habit_cf_0027,004956_01,004956,S6759,ready,factual,S6759,False,False,False,False,0.8340399944900204,True
qwen3vl_8b,habit_cf_0028,004956_01,004956,S6759,ready,counterfactual,S7414,True,False,True,False,0.8340399944900204,False
qwen3vl_8b,habit_cf_0029,004957_01,004957,S6759,early,factual,S6759,False,False,False,False,0.07842228353937,False
qwen3vl_8b,habit_cf_0030,004957_01,004957,S6759,early,counterfactual,S7414,False,False,False,False,0.07842228353937,False
qwen3vl_8b,habit_cf_0031,004957_01,004957,S6759,ready,factual,S6759,True,True,True,True,0.6363702052033519,True
qwen3vl_8b,habit_cf_0032,004957_01,004957,S6759,ready,counterfactual,S7414,True,False,True,False,0.6363702052033519,False
