model,method,records,admitted,correct_admitted,wrong_admitted,coverage,correct_all,wrong_all,ready_factual_recall
qwen3vl_8b,candidate_only,720,144,53,91,0.2,0.07361111111111111,0.12638888888888888,0.8833333333333333
qwen3vl_8b,target_identity,720,78,53,25,0.10833333333333334,0.07361111111111111,0.034722222222222224,0.8833333333333333
qwen3vl_8b,event_proximity,720,105,51,54,0.14583333333333334,0.07083333333333333,0.075,0.85
qwen3vl_8b,combined,720,52,51,1,0.07222222222222222,0.07083333333333333,0.001388888888888889,0.85
qwen3vl_32b,candidate_only,720,143,57,86,0.1986111111111111,0.07916666666666666,0.11944444444444445,0.95
qwen3vl_32b,target_identity,720,79,57,22,0.10972222222222222,0.07916666666666666,0.030555555555555555,0.95
qwen3vl_32b,event_proximity,720,97,54,43,0.13472222222222222,0.075,0.059722222222222225,0.9
qwen3vl_32b,combined,720,55,54,1,0.0763888888888889,0.075,0.001388888888888889,0.9
internvl3_8b,candidate_only,720,98,27,71,0.1361111111111111,0.0375,0.09861111111111111,0.45
internvl3_8b,target_identity,720,43,27,16,0.059722222222222225,0.0375,0.022222222222222223,0.45
internvl3_8b,event_proximity,720,72,24,48,0.1,0.03333333333333333,0.06666666666666667,0.4
internvl3_8b,combined,720,25,24,1,0.034722222222222224,0.03333333333333333,0.001388888888888889,0.4
