model,id,source_id,event_id,episode_id,sid,window,condition,target_sid,target_object,expected_target_match,image,target_match,target_match_score,release_readiness,readiness_score
qwen3vl_8b,habit_cf_0001,habit_test_01529,004948_01,004948,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01529.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0002,habit_test_01529,004948_01,004948,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01529.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0003,habit_test_01530,004948_01,004948,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01530.jpg,matched,0.975,not_ready,0.04999999999999999
qwen3vl_8b,habit_cf_0004,habit_test_01530,004948_01,004948,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01530.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0005,habit_test_01531,004949_01,004949,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01531.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0006,habit_test_01531,004949_01,004949,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01531.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0007,habit_test_01532,004949_01,004949,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01532.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0008,habit_test_01532,004949_01,004949,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01532.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0009,habit_test_01533,004951_01,004951,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01533.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0010,habit_test_01533,004951_01,004951,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01533.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0011,habit_test_01534,004951_01,004951,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01534.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0012,habit_test_01534,004951_01,004951,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01534.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0013,habit_test_01535,004952_01,004952,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01535.jpg,matched,0.975,not_ready,0.04999999999999999
qwen3vl_8b,habit_cf_0014,habit_test_01535,004952_01,004952,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01535.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0015,habit_test_01536,004952_01,004952,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01536.jpg,matched,0.975,not_ready,0.04999999999999999
qwen3vl_8b,habit_cf_0016,habit_test_01536,004952_01,004952,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01536.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0017,habit_test_01537,004953_01,004953,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01537.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0018,habit_test_01537,004953_01,004953,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01537.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0019,habit_test_01538,004953_01,004953,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01538.jpg,matched,0.975,not_ready,0.04999999999999999
