method,sid,task,n,admitted,coverage,correct_authorization_all,wrong_authorization_all,wrong_authorization_admitted,authorization_accuracy,ready_factual_recall
semantic_candidate,S6759,Power Cable,120,27,0.225,0.041666666666666664,0.18333333333333332,0.8148148148148148,0.775,0.5
semantic_candidate,S7025,Organizing box,120,22,0.18333333333333332,0.08333333333333333,0.1,0.5454545454545454,0.9,1.0
semantic_candidate,S7414,Paper to-go box,120,33,0.275,0.08333333333333333,0.19166666666666668,0.696969696969697,0.8083333333333333,1.0
semantic_candidate,S7788,iced cup,120,20,0.16666666666666666,0.075,0.09166666666666666,0.55,0.9,0.9
semantic_candidate,S8940,Airtight Container lid,120,25,0.20833333333333334,0.08333333333333333,0.125,0.6,0.875,1.0
semantic_candidate,S8975,100 cm Hotel Towel,120,17,0.14166666666666666,0.075,0.06666666666666667,0.47058823529411764,0.925,0.9
current_target_only,S6759,Power Cable,120,7,0.058333333333333334,0.041666666666666664,0.016666666666666666,0.2857142857142857,0.9416666666666667,0.5
current_target_only,S7025,Organizing box,120,16,0.13333333333333333,0.08333333333333333,0.05,0.375,0.95,1.0
current_target_only,S7414,Paper to-go box,120,12,0.1,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.9833333333333333,1.0
current_target_only,S7788,iced cup,120,19,0.15833333333333333,0.075,0.08333333333333333,0.5263157894736842,0.9083333333333333,0.9
current_target_only,S8940,Airtight Container lid,120,10,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1.0
current_target_only,S8975,100 cm Hotel Towel,120,14,0.11666666666666667,0.075,0.041666666666666664,0.35714285714285715,0.95,0.9
temporal_source_only,S6759,Power Cable,120,25,0.20833333333333334,0.041666666666666664,0.16666666666666666,0.8,0.7916666666666666,0.5
temporal_source_only,S7025,Organizing box,120,15,0.125,0.08333333333333333,0.041666666666666664,0.3333333333333333,0.9583333333333334,1.0
temporal_source_only,S7414,Paper to-go box,120,20,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,0.9166666666666666,1.0
temporal_source_only,S7788,iced cup,120,9,0.075,0.058333333333333334,0.016666666666666666,0.2222222222222222,0.9583333333333334,0.7
temporal_source_only,S8940,Airtight Container lid,120,25,0.20833333333333334,0.08333333333333333,0.125,0.6,0.875,1.0
temporal_source_only,S8975,100 cm Hotel Towel,120,11,0.09166666666666666,0.075,0.016666666666666666,0.18181818181818182,0.975,0.9
combined_verification,S6759,Power Cable,120,5,0.041666666666666664,0.041666666666666664,0.0,0.0,0.9583333333333334,0.5
combined_verification,S7025,Organizing box,120,10,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1.0
combined_verification,S7414,Paper to-go box,120,10,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1.0
combined_verification,S7788,iced cup,120,8,0.06666666666666667,0.058333333333333334,0.008333333333333333,0.125,0.9666666666666667,0.7
combined_verification,S8940,Airtight Container lid,120,10,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1.0
combined_verification,S8975,100 cm Hotel Towel,120,9,0.075,0.075,0.0,0.0,0.9916666666666667,0.9
