contrast,estimand,left,right,mean,ci_low,ci_high,fraction_below_zero,stratum,support
fusion_effect_at_V0,ncsAURC_0.10_0.39,F1_registered:V0_no_provenance,F0_singleton:V0_no_provenance,-0.024407655410233764,-0.026732254404345516,-0.022080972035662137,1.0,all_records,primary_0.10_0.39
fusion_effect_at_V1,ncsAURC_0.10_0.39,F1_registered:V1_full,F0_singleton:V1_full,-0.06606198524062892,-0.0720119700993545,-0.060186569812783454,1.0,all_records,primary_0.10_0.39
verifier_effect_at_F0,ncsAURC_0.10_0.39,F0_singleton:V1_full,F0_singleton:V0_no_provenance,-0.2613446601148578,-0.26530406331651624,-0.2575838183899981,1.0,all_records,primary_0.10_0.39
verifier_effect_at_F1,ncsAURC_0.10_0.39,F1_registered:V1_full,F1_registered:V0_no_provenance,-0.302998989945253,-0.30415357723119313,-0.3017934878181814,1.0,all_records,primary_0.10_0.39
difference_in_differences,ncsAURC_0.10_0.39,(F1V1-F0V1),(F1V0-F0V0),-0.04165432983039516,-0.04534303352020822,-0.03787330987190211,1.0,all_records,primary_0.10_0.39
fusion_effect_at_V0,ncsAURC_0.10_0.35,F1_registered:V0_no_provenance,F0_singleton:V0_no_provenance,-0.01610610654555306,-0.017421062681235985,-0.014806761910797191,1.0,all_records,fixed_0.10_0.35
fusion_effect_at_V1,ncsAURC_0.10_0.35,F1_registered:V1_full,F0_singleton:V1_full,-0.054529976079547876,-0.059715798688403966,-0.04939342943136169,1.0,all_records,fixed_0.10_0.35
verifier_effect_at_F0,ncsAURC_0.10_0.35,F0_singleton:V1_full,F0_singleton:V0_no_provenance,-0.2993014175038402,-0.3037416897639322,-0.29502850782521506,1.0,all_records,fixed_0.10_0.35
verifier_effect_at_F1,ncsAURC_0.10_0.35,F1_registered:V1_full,F1_registered:V0_no_provenance,-0.33772528703783494,-0.3390775425699544,-0.33633481813211386,1.0,all_records,fixed_0.10_0.35
difference_in_differences,ncsAURC_0.10_0.35,(F1V1-F0V1),(F1V0-F0V0),-0.03842386953399482,-0.04254606756464701,-0.03419868174526357,1.0,all_records,fixed_0.10_0.35
fusion_effect_at_V0,ncsAURC_0.10_0.39,F1_registered:V0_no_provenance,F0_singleton:V0_no_provenance,-0.002517427884135985,-0.0029415490726657834,-0.0021068345530256666,1.0,complete_records,primary_0.10_0.39
fusion_effect_at_V1,ncsAURC_0.10_0.39,F1_registered:V1_full,F0_singleton:V1_full,-0.02756829656680639,-0.02977431485243629,-0.02540162991544666,1.0,complete_records,primary_0.10_0.39
verifier_effect_at_F0,ncsAURC_0.10_0.39,F0_singleton:V1_full,F0_singleton:V0_no_provenance,-0.4788444967077583,-0.4807222284718862,-0.4770547571515836,1.0,complete_records,primary_0.10_0.39
verifier_effect_at_F1,ncsAURC_0.10_0.39,F1_registered:V1_full,F1_registered:V0_no_provenance,-0.5038953653904287,-0.5044370160247994,-0.5032684884749794,1.0,complete_records,primary_0.10_0.39
difference_in_differences,ncsAURC_0.10_0.39,(F1V1-F0V1),(F1V0-F0V0),-0.025050868682670403,-0.026972000638898604,-0.023129261171298442,1.0,complete_records,primary_0.10_0.39
fusion_effect_at_V0,ncsAURC_0.10_0.35,F1_registered:V0_no_provenance,F0_singleton:V0_no_provenance,-0.00016117836085347904,-0.000384822312212596,4.6216478279589584e-05,0.948,complete_records,fixed_0.10_0.35
fusion_effect_at_V1,ncsAURC_0.10_0.35,F1_registered:V1_full,F0_singleton:V1_full,-0.021574604728108505,-0.023427587077898646,-0.01977328586435962,1.0,complete_records,fixed_0.10_0.35
verifier_effect_at_F0,ncsAURC_0.10_0.35,F0_singleton:V1_full,F0_singleton:V0_no_provenance,-0.5306459617607463,-0.5324702729436085,-0.5288613691824342,1.0,complete_records,fixed_0.10_0.35
verifier_effect_at_F1,ncsAURC_0.10_0.35,F1_registered:V1_full,F1_registered:V0_no_provenance,-0.5520593881280015,-0.5527215817014244,-0.5513890370811829,1.0,complete_records,fixed_0.10_0.35
difference_in_differences,ncsAURC_0.10_0.35,(F1V1-F0V1),(F1V0-F0V0),-0.021413426367255028,-0.023243390248288417,-0.019647027169600564,1.0,complete_records,fixed_0.10_0.35
