event_id,episode_id,window,physical_view_id,source_frame,image,image_bytes,image_sha256
000125_01,000125,early,exo_view,207,images/000125_01_early_exo_view.jpg,50181,62b725aba124fbce1d9ddadecfb8c0d0999be86b0dc0be1547702e9f55b00e5f
000125_01,000125,ready,exo_view,245,images/000125_01_ready_exo_view.jpg,50510,7b93a3a02a0530e71d9e0b1c3462a2170fdeaae4a9f32157cdec9588cf50e789
000125_02,000125,early,exo_view,435,images/000125_02_early_exo_view.jpg,51392,7d6a3fcde33c9ed8c8a7dbc87cddae4d1355f4c1ac700f2b923047a66dae9dcc
000125_02,000125,ready,exo_view,471,images/000125_02_ready_exo_view.jpg,50104,4bbf0dc97872034637b5a04f2d424ca876194a03b89405ccffa77a7e181ad036
000125_01,000125,early,front_view,207,images/000125_01_early_front_view.jpg,50870,b2060e38e7b0b73763734521630af2dacb3bf3fac050fb0b20b73906090fbbaa
000125_01,000125,ready,front_view,245,images/000125_01_ready_front_view.jpg,50710,77449c94317927cc313b13ec7f9d1e788dc4571d34f4e1ec02185b0220a009a7
000125_02,000125,early,front_view,435,images/000125_02_early_front_view.jpg,53047,1547b498f2a9d1100316e612c75d764088996a0ba83f871c9584bcc4be851374
000125_02,000125,ready,front_view,471,images/000125_02_ready_front_view.jpg,51796,d0c4b085e02230b4dbd663c5d1b2f9bf3ad8c6e817b93d841b86ea3d8254410e
000125_01,000125,early,human_front_view,207,images/000125_01_early_human_front_view.jpg,67430,89ce3a19ca35ecba4a70c1b26c76c5e0c1c267fa39ad261232531ef17f2b2a3f
000125_01,000125,ready,human_front_view,245,images/000125_01_ready_human_front_view.jpg,76126,cffd6cb4c0848bc51b10d056891666e749ecfae9f89ac5c7dbe9827eddbc9485
000125_02,000125,early,human_front_view,435,images/000125_02_early_human_front_view.jpg,62162,e20f343851ffd37e943b774e863143a4c56bfc5e528b118d90ca182c6a946795
000125_02,000125,ready,human_front_view,471,images/000125_02_ready_human_front_view.jpg,73535,f917287679b776bec010dd4bebe6a989f8e452f6f9a00473d99bcfa8df9dc241
000125_01,000125,early,left_wrist_view,207,images/000125_01_early_left_wrist_view.jpg,36054,186b3085bd716efb547b6aa84e54f241e1d77a75fccc006f51dc1fe7281954bc
000125_01,000125,ready,left_wrist_view,245,images/000125_01_ready_left_wrist_view.jpg,34511,8cd6431dab42e4740b8c4508233778d87dedf85259c33b5bdc3f617e2afaeadd
000125_02,000125,early,left_wrist_view,435,images/000125_02_early_left_wrist_view.jpg,35636,1f5907891a0f6c340698a28a375da85ab805098f5f6094c1b78a69f4268130ef
000125_02,000125,ready,left_wrist_view,471,images/000125_02_ready_left_wrist_view.jpg,41241,4391858e296d0175fb701e431f537d59b8c42172ce107ec69171fd264498c9de
000125_01,000125,early,right_wrist_view,207,images/000125_01_early_right_wrist_view.jpg,41843,1391030bf0f71c7afcafcc673abe8222a39652e32bcd81c8f2840c1bf78fc5e5
000125_01,000125,ready,right_wrist_view,245,images/000125_01_ready_right_wrist_view.jpg,48334,b38656951737ebdddd23556c4fb798b1182b199dce530adb28a15ead888da515
000125_02,000125,early,right_wrist_view,435,images/000125_02_early_right_wrist_view.jpg,35998,d73667f99a8b6ac3e0f6c6095d51988966776d3d44773f531899645d6e2d0c44
000125_02,000125,ready,right_wrist_view,471,images/000125_02_ready_right_wrist_view.jpg,36140,6dfdffa9c6c6988ff00d7ac7909f64b00b9cc56315b0d066b8fa1991cdd6234a
000139_01,000139,early,exo_view,196,images/000139_01_early_exo_view.jpg,50259,2e3a7a882c1ead140f2cbd7184a0a44fa44e756391afe5672e684aa196359b32
000139_01,000139,ready,exo_view,227,images/000139_01_ready_exo_view.jpg,50132,b0eb8b00ecf01bd41e00f92418ebba1528c859a63738e37c9b83954c4e08026d
000139_02,000139,early,exo_view,409,images/000139_02_early_exo_view.jpg,51118,1794b4e49fa16b784f669daa34a8283ad0bf9006ac54a9feea8d9724b448f70d
000139_02,000139,ready,exo_view,444,images/000139_02_ready_exo_view.jpg,50631,ea52626128341e326b22a14de9e997041986de615017f73acc78afab32478f5e
000139_01,000139,early,front_view,196,images/000139_01_early_front_view.jpg,54361,be8124884b9df8c419fb30a572fef3c411cb669fdfa89765952991b07c3d731c
000139_01,000139,ready,front_view,227,images/000139_01_ready_front_view.jpg,50418,f2cbccf86a7314d2591f6748ab1728a154a99b3e0808dd8a3ad560173ce901cb
000139_02,000139,early,front_view,409,images/000139_02_early_front_view.jpg,55452,a50584afdee6466a0ed9c928004b7eb472e23c245b57afb22b194e3f4c66bf45
000139_02,000139,ready,front_view,444,images/000139_02_ready_front_view.jpg,52715,545d913a245c3ac2cd29f106d371bed74a5532d8d7d307a5d9f06f668e2ea30c
000139_01,000139,early,human_front_view,196,images/000139_01_early_human_front_view.jpg,51952,d71d642bed7d304ce8503321d3cbe45fb6bf263534133efa414aab2d57d67351
000139_01,000139,ready,human_front_view,227,images/000139_01_ready_human_front_view.jpg,75233,7f14b7d223f0bb7daf7b5ce243baa76206f9c6c5c3e9ceaf16ca3e461bfa2b2a
000139_02,000139,early,human_front_view,409,images/000139_02_early_human_front_view.jpg,46309,325eb3380ea1a89cf3ca8b2a55c13da58fddb9c0591d10f766ed70874ed68c41
000139_02,000139,ready,human_front_view,444,images/000139_02_ready_human_front_view.jpg,70290,20a91d0314d7bde3e322099b9e6120c93512ddd49c6d7c88dc1f32a8089a0e4b
000139_01,000139,early,left_wrist_view,196,images/000139_01_early_left_wrist_view.jpg,33737,25ee1e016c6a71a91abdfc90d8c6756a0c10772b8102d7aa34e849e7326bfb2d
000139_01,000139,ready,left_wrist_view,227,images/000139_01_ready_left_wrist_view.jpg,34267,feb9ac3704634d026427cabe31855d17cf7c7a87491cd90e57a765fd2e3e7277
000139_02,000139,early,left_wrist_view,409,images/000139_02_early_left_wrist_view.jpg,35243,6ae17e4d28438cac1d78c0c2cdbf0e3173601069ffd64eb4655157678d82bcf0
000139_02,000139,ready,left_wrist_view,444,images/000139_02_ready_left_wrist_view.jpg,38015,4dac52356cf024c246af41961304e49bf88d6dc90828380eb053526d67136b06
000139_01,000139,early,right_wrist_view,196,images/000139_01_early_right_wrist_view.jpg,42826,8a2bb51fdde48624728d286564e74e6d0ac565bd38cf71ce54753c2827ede6db
000139_01,000139,ready,right_wrist_view,227,images/000139_01_ready_right_wrist_view.jpg,47558,d187806c9156c2aaad365463d27959291a7e8221920f1def9bdeadc58a13a283
000139_02,000139,early,right_wrist_view,409,images/000139_02_early_right_wrist_view.jpg,37427,69a044e189793d663e43c80a5e6ff7ab701589ac2947539140ee9b89e2de4e10
000139_02,000139,ready,right_wrist_view,444,images/000139_02_ready_right_wrist_view.jpg,40475,d25c135649be76d46fdcb3990fd2847e0d3a4ed0411c7f999f04b8a5bcb0f26d
000140_01,000140,early,exo_view,221,images/000140_01_early_exo_view.jpg,50304,45f12817f93f98e7756aa65cc3a1477547b384d85506b54f07c7cd32b598a3b7
000140_01,000140,ready,exo_view,257,images/000140_01_ready_exo_view.jpg,49379,e3c13f29c0aebefa680ddcc0b5ff4477e2bc465a1dc5dae7b2bc81cbf198a286
000140_02,000140,early,exo_view,411,images/000140_02_early_exo_view.jpg,49961,07a67a8c78bb19056e22b731a07caf03d731962e6415ca63e3105f45d5f176df
000140_02,000140,ready,exo_view,440,images/000140_02_ready_exo_view.jpg,49348,aae82a3f4df760199bffaa0eb638a8e758b91a875a526f5e853c30b4dada087f
000140_01,000140,early,front_view,221,images/000140_01_early_front_view.jpg,50281,fea0b48755d2773c45dae75ff5645321f31039bef61ee5bbe2998246b9fa9824
000140_01,000140,ready,front_view,257,images/000140_01_ready_front_view.jpg,51291,f42f00e84643b2325246b5e777a00279ec5f8d1c3318d8f93f4dab91f1eeb5da
000140_02,000140,early,front_view,411,images/000140_02_early_front_view.jpg,53206,d45503cc91b3fbd77398febaafb6342bee2c0a05d3859af9dbe0b71817057440
000140_02,000140,ready,front_view,440,images/000140_02_ready_front_view.jpg,49274,edeaf73b76d35b85d61195f617a771212d0ef16acae8a6aa8655ad43d8b63125
000140_01,000140,early,human_front_view,221,images/000140_01_early_human_front_view.jpg,66862,a2d706a9f20bbe3a444747f054faad28b32256cf1a843cd41b5ab706795f4c84
000140_01,000140,ready,human_front_view,257,images/000140_01_ready_human_front_view.jpg,73607,606c89c4d948dd9f937c91e166093e7a64c88c516d345a353dc05874411af348
000140_02,000140,early,human_front_view,411,images/000140_02_early_human_front_view.jpg,55994,cb44247b2d73d763428d9d815fc214db6095f64c957540b2b233d1f634167c16
000140_02,000140,ready,human_front_view,440,images/000140_02_ready_human_front_view.jpg,73156,d6f695ec3b899a53419e8093d4c62aa17d7d7f9149489919e23c018aaab00c6c
000140_01,000140,early,left_wrist_view,221,images/000140_01_early_left_wrist_view.jpg,44530,2e3892284ca1cbdd3caf0b1d3d4a75bb779ac08dcebc5c9a6df4e8b53699a34f
000140_01,000140,ready,left_wrist_view,257,images/000140_01_ready_left_wrist_view.jpg,40830,91e7b9e9053da6f23cbab32615678921667df5ffd9167e34cd21fac6591fd9db
000140_02,000140,early,left_wrist_view,411,images/000140_02_early_left_wrist_view.jpg,32143,f9511f4c74d753fe1d16baa4b77d3b0f723635cd06bb1af1018cd097743cd9dc
000140_02,000140,ready,left_wrist_view,440,images/000140_02_ready_left_wrist_view.jpg,38224,34479d7ad8085c0cbbd773020b68d1e2c8957923b563cbc61da81adc8848086e
000140_01,000140,early,right_wrist_view,221,images/000140_01_early_right_wrist_view.jpg,39792,3d3ae226bd3ea83d05408f384c74804d30230394c19661008821e37b56331b6a
000140_01,000140,ready,right_wrist_view,257,images/000140_01_ready_right_wrist_view.jpg,44650,fe9f29c354ba2dae800f44bc1b04f0a83b3781a434df2bb564562d2d9a659344
000140_02,000140,early,right_wrist_view,411,images/000140_02_early_right_wrist_view.jpg,36142,4d6d6b875173ecaef855ab5019c522c71327ce78a8da37fa1c9a94a2cfb39d11
000140_02,000140,ready,right_wrist_view,440,images/000140_02_ready_right_wrist_view.jpg,42007,3b76db47383880bfcc620000a69ac51581fa7df56401c51bf421d34e1331f0f5
000145_01,000145,early,exo_view,182,images/000145_01_early_exo_view.jpg,48204,59c947a3ab2b6fd4036c8d1564b1d80828dc418de1e87bf1d2aae29a56966883
000145_01,000145,ready,exo_view,214,images/000145_01_ready_exo_view.jpg,50574,9707e217efe50fc092677bff1d9838eebcdf8cc068cfde2cd65f378f6346cbcf
000145_02,000145,early,exo_view,364,images/000145_02_early_exo_view.jpg,50621,dfc80e4539b3fc307046d95913e58265115e3c4928080b33d266b7bb602ec3bd
000145_02,000145,ready,exo_view,393,images/000145_02_ready_exo_view.jpg,50132,217fe9fa6d3de0401ff2904c834cb17c0e62cd6e0992917d8aa06bb1d0fba097
000145_01,000145,early,front_view,182,images/000145_01_early_front_view.jpg,57016,b68e6234b63a395d0e6e8055d194531ff36bcff97b6ef69c17d37b648a8e8cb3
000145_01,000145,ready,front_view,214,images/000145_01_ready_front_view.jpg,49925,04225f175ebdc885ad7cae0ddb55e6d738afa0eb2717c9c78282ac2a43428271
000145_02,000145,early,front_view,364,images/000145_02_early_front_view.jpg,55501,fe5004599b5088bb1e8c39d2587acfa58d057bd23b1621e2cc62ef329e08aedb
