table,estimator,method,support_min,support_max,grid_points,ncsAURC_point,scene_bootstrap_mean,scene_bootstrap_ci95_low,scene_bootstrap_ci95_high,bootstrap_replicates,bootstrap_seed,statistical_unit,scene_units,record_rows
fusion_no_verifier,outer_train_threshold,quality_weighted_fusion,0.1,0.35,36,0.8175778492369629,0.8176439256340203,0.8130235862205435,0.8226931151912743,2000,1886,scene,48,31200
fusion_no_verifier,outer_train_threshold,product_evidence_fusion,0.1,0.35,36,0.7776904053260236,0.7778969748767658,0.7715158916609216,0.784167914789461,2000,1886,scene,48,31200
fusion_no_verifier,outer_train_threshold,nested_evidential_composition,0.1,0.35,36,0.7933673115433293,0.793291934515578,0.7789881795394838,0.8068260725157831,2000,1886,scene,48,31200
fusion_no_verifier,outer_train_threshold,cautious_evidence_fusion,0.1,0.35,36,0.8003043552568155,0.8003109653312694,0.7951943270505554,0.8055863621279943,2000,1886,scene,48,31200
fusion_no_verifier,outer_train_threshold,lineage_unaware_pooling,0.1,0.35,36,0.8640084803330854,0.8640665843946819,0.8608034895185419,0.8673695081389957,2000,1886,scene,48,31200
fusion_no_verifier,outer_train_threshold,registered_lineage_pooling,0.1,0.35,36,0.8329326495522027,0.8331239816376774,0.8291280691490825,0.8374244826240965,2000,1886,scene,48,31200
fusion_no_verifier,outer_train_threshold,pcecf,0.1,0.35,36,0.6422587512697058,0.6422709951427712,0.634886217164633,0.6495191921704926,2000,1886,scene,48,31200
fusion_no_verifier,heldout_exact_count_diagnostic,quality_weighted_fusion,0.1,0.35,36,0.8174686537573079,0.8175412942073355,0.812916652832593,0.8225873298261434,2000,1886,scene,48,31200
fusion_no_verifier,heldout_exact_count_diagnostic,product_evidence_fusion,0.1,0.35,36,0.7777343789470291,0.7779249004304468,0.7715944830977574,0.7841929019172013,2000,1886,scene,48,31200
fusion_no_verifier,heldout_exact_count_diagnostic,nested_evidential_composition,0.1,0.35,36,0.7921677428242663,0.792100911914825,0.7775685404921578,0.8059203805456232,2000,1886,scene,48,31200
fusion_no_verifier,heldout_exact_count_diagnostic,cautious_evidence_fusion,0.1,0.35,36,0.8003545290749648,0.8003539410106282,0.7953274388395739,0.8056630165223057,2000,1886,scene,48,31200
fusion_no_verifier,heldout_exact_count_diagnostic,lineage_unaware_pooling,0.1,0.35,36,0.8641617518879499,0.8642062068459792,0.8609851504973932,0.867410735106652,2000,1886,scene,48,31200
fusion_no_verifier,heldout_exact_count_diagnostic,registered_lineage_pooling,0.1,0.35,36,0.8332994493980007,0.833522703965366,0.8296619761937282,0.8377156845264722,2000,1886,scene,48,31200
fusion_no_verifier,heldout_exact_count_diagnostic,pcecf,0.1,0.35,36,0.6420405425824154,0.6420953728770827,0.6348211202975889,0.6492729257446779,2000,1886,scene,48,31200
shared_verifier,outer_train_threshold,quality_weighted_fusion,0.1,0.35,36,0.2496410533804144,0.24951008331677416,0.24670349596322408,0.25231929376836076,2000,1886,scene,48,31200
shared_verifier,outer_train_threshold,product_evidence_fusion,0.1,0.35,36,0.22594141061999337,0.22582935765045672,0.21818605287069712,0.2323929219754636,2000,1886,scene,48,31200
shared_verifier,outer_train_threshold,nested_evidential_composition,0.1,0.35,36,0.11697878022176171,0.11704060161715238,0.11172465265724717,0.1221784220967712,2000,1886,scene,48,31200
shared_verifier,outer_train_threshold,cautious_evidence_fusion,0.1,0.35,36,0.24778971157990637,0.24775938093020522,0.24492159319042117,0.2507606423216826,2000,1886,scene,48,31200
shared_verifier,outer_train_threshold,lineage_unaware_pooling,0.1,0.35,36,0.3108807807222158,0.3108587250411249,0.30653942511982984,0.3151303210816407,2000,1886,scene,48,31200
shared_verifier,outer_train_threshold,registered_lineage_pooling,0.1,0.35,36,0.293687250574931,0.29364335122078744,0.2889769346193479,0.29833917399113236,2000,1886,scene,48,31200
shared_verifier,outer_train_threshold,pcecf,0.1,0.35,36,0.06636584850608372,0.06637666897155825,0.06400185207167701,0.06884765495954354,2000,1886,scene,48,31200
shared_verifier,heldout_exact_count_diagnostic,quality_weighted_fusion,0.1,0.35,36,0.2496235781205612,0.24949064390958156,0.24669100902546728,0.2523174575522592,2000,1886,scene,48,31200
shared_verifier,heldout_exact_count_diagnostic,product_evidence_fusion,0.1,0.35,36,0.22595513833980346,0.22584266192628025,0.21822955610428166,0.23236591453583727,2000,1886,scene,48,31200
shared_verifier,heldout_exact_count_diagnostic,nested_evidential_composition,0.1,0.35,36,0.11693649339916433,0.11701151547238814,0.11172345088701345,0.12214788849765441,2000,1886,scene,48,31200
shared_verifier,heldout_exact_count_diagnostic,cautious_evidence_fusion,0.1,0.35,36,0.24778485638375639,0.2477458896624831,0.24490252791668016,0.2507581722478972,2000,1886,scene,48,31200
shared_verifier,heldout_exact_count_diagnostic,lineage_unaware_pooling,0.1,0.35,36,0.3108556803984381,0.3108333612821273,0.3065877163539706,0.31507575064102405,2000,1886,scene,48,31200
shared_verifier,heldout_exact_count_diagnostic,registered_lineage_pooling,0.1,0.35,36,0.2936005692990907,0.29355343660180927,0.28884463267505095,0.29811017804397577,2000,1886,scene,48,31200
shared_verifier,heldout_exact_count_diagnostic,pcecf,0.1,0.35,36,0.06623844589689218,0.06625310997082974,0.06389062070457734,0.06870372522137476,2000,1886,scene,48,31200
