method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
quality_weighted_fusion,0.01,31200,312,220,92,0.01,0.007051282051282051,0.002948717948717949,0.7051282051282052
quality_weighted_fusion,0.02,31200,626,291,335,0.020064102564102564,0.009326923076923076,0.010737179487179487,0.46485623003194887
quality_weighted_fusion,0.03,31200,936,310,626,0.03,0.009935897435897435,0.020064102564102564,0.3311965811965812
quality_weighted_fusion,0.04,31200,1246,323,923,0.039935897435897434,0.010352564102564103,0.029583333333333333,0.2592295345104334
quality_weighted_fusion,0.05,31200,1557,330,1227,0.04990384615384615,0.010576923076923078,0.03932692307692308,0.2119460500963391
quality_weighted_fusion,0.06,31200,1871,331,1540,0.05996794871794872,0.010608974358974359,0.04935897435897436,0.17691074291822556
quality_weighted_fusion,0.07,31200,2177,331,1846,0.06977564102564103,0.010608974358974359,0.059166666666666666,0.15204409738171795
quality_weighted_fusion,0.08,31200,2501,331,2170,0.08016025641025641,0.010608974358974359,0.06955128205128205,0.1323470611755298
quality_weighted_fusion,0.09,31200,2806,331,2475,0.08993589743589743,0.010608974358974359,0.07932692307692307,0.1179615110477548
quality_weighted_fusion,0.1,31200,3117,331,2786,0.09990384615384615,0.010608974358974359,0.08929487179487179,0.10619185113891562
quality_weighted_fusion,0.11,31200,3429,331,3098,0.10990384615384616,0.010608974358974359,0.0992948717948718,0.09652960046660834
quality_weighted_fusion,0.12,31200,3741,331,3410,0.11990384615384615,0.010608974358974359,0.1092948717948718,0.08847901630580059
quality_weighted_fusion,0.13,31200,4059,331,3728,0.13009615384615383,0.010608974358974359,0.11948717948717949,0.08154717910815472
quality_weighted_fusion,0.14,31200,4365,331,4034,0.13990384615384616,0.010608974358974359,0.12929487179487179,0.07583046964490263
quality_weighted_fusion,0.15,31200,4680,331,4349,0.15,0.010608974358974359,0.13939102564102565,0.07072649572649573
quality_weighted_fusion,0.16,31200,4992,331,4661,0.16,0.010608974358974359,0.14939102564102563,0.06630608974358974
quality_weighted_fusion,0.17,31200,5307,334,4973,0.17009615384615384,0.010705128205128206,0.15939102564102564,0.06293574524213304
quality_weighted_fusion,0.18,31200,5612,529,5083,0.17987179487179486,0.016955128205128206,0.16291666666666665,0.0942622950819672
quality_weighted_fusion,0.19,31200,5927,797,5130,0.18996794871794873,0.025544871794871794,0.16442307692307692,0.13446937742534165
quality_weighted_fusion,0.2,31200,6240,1094,5146,0.2,0.03506410256410256,0.16493589743589743,0.1753205128205128
quality_weighted_fusion,0.21,31200,6554,1402,5152,0.21006410256410257,0.04493589743589744,0.16512820512820514,0.21391516631065
quality_weighted_fusion,0.22,31200,6862,1706,5156,0.21993589743589745,0.05467948717948718,0.16525641025641025,0.24861556397551735
quality_weighted_fusion,0.23,31200,7177,2019,5158,0.2300320512820513,0.06471153846153846,0.16532051282051283,0.2813153128047931
quality_weighted_fusion,0.24,31200,7490,2332,5158,0.24006410256410257,0.07474358974358974,0.16532051282051283,0.31134846461949267
quality_weighted_fusion,0.25,31200,7798,2639,5159,0.24993589743589745,0.08458333333333333,0.1653525641025641,0.3384201077199282
quality_weighted_fusion,0.26,31200,8107,2944,5163,0.2598397435897436,0.09435897435897436,0.16548076923076924,0.3631429628715925
quality_weighted_fusion,0.27,31200,8420,3251,5169,0.26987179487179486,0.10419871794871795,0.16567307692307692,0.386104513064133
quality_weighted_fusion,0.28,31200,8736,3525,5211,0.28,0.11298076923076923,0.16701923076923078,0.40350274725274726
quality_weighted_fusion,0.29,31200,9052,3788,5264,0.29012820512820514,0.1214102564102564,0.1687179487179487,0.4184710561201944
quality_weighted_fusion,0.3,31200,9358,4015,5343,0.29993589743589744,0.12868589743589742,0.17125,0.42904466766403077
quality_weighted_fusion,0.31,31200,9669,4132,5537,0.30990384615384614,0.13243589743589743,0.17746794871794871,0.42734512359085736
quality_weighted_fusion,0.32,31200,9982,4137,5845,0.31993589743589745,0.13259615384615384,0.1873397435897436,0.41444600280504906
quality_weighted_fusion,0.33,31200,10301,4177,6124,0.3301602564102564,0.13387820512820514,0.19628205128205128,0.4054946121735754
quality_weighted_fusion,0.34,31200,10610,4255,6355,0.3400641025641026,0.13637820512820512,0.20368589743589743,0.4010367577756833
quality_weighted_fusion,0.35,31200,10921,4331,6590,0.3500320512820513,0.13881410256410256,0.21121794871794872,0.3965754051826756
