pair_id,score,edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks,mean_budget_delta,ncsAURC_delta,direction
HandWritten-Mfeat__TMC,native_nonvacuity,E000,P001,P000,2,1,0+1,-1.2204063463222703,-0.04911827869258145,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E001,P002,P000,2,1,0+1,-0.7950895618789946,0.37622339914713054,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E002,P003,P000,2,1,0+1,-0.5812958631259972,0.3074370523719495,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E003,P004,P001,3,2,0+1,-0.8991493423304635,0.38802911764804926,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E004,P004,P002,3,2,0+2,-1.3244661267737392,-0.037312560191662736,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E005,P004,P003,3,2,1+2,-1.5382598255267368,0.03147378658351832,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E006,P005,P000,2,1,0+1,-0.9946322264971168,0.2261565945959788,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E007,P006,P000,2,1,0+1,-0.5024360918714157,0.2561264467886101,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E008,P007,P001,3,2,0+1,-1.004733733167122,0.33774584210558534,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E009,P007,P005,3,2,0+2,-1.2305078529922755,0.06247096881702505,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E010,P007,P006,3,2,1+2,-1.7227039876179768,0.032501116624393755,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E011,P008,P000,2,1,0+1,-0.3695374144300659,0.37350491918705053,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E012,P009,P000,2,1,0+1,-0.708445483294905,0.3651105171886364,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E013,P010,P001,3,2,0+1,-0.7365939738251106,0.28897972048905285,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E014,P010,P008,3,2,0+2,-1.587462905717315,-0.13364347739057916,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E015,P010,P009,3,2,1+2,-1.248554836852476,-0.12524907539216504,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E016,P011,P002,3,2,0+1,-1.024075506522153,0.0505213315361325,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E017,P011,P005,3,2,0+2,-0.8245328419040308,0.20058813608728424,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E018,P011,P008,3,2,1+2,-1.4496276539710817,0.053239811496212514,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E019,P012,P002,3,2,0+1,-0.888834424621491,0.04438783550134541,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E020,P012,P006,3,2,0+2,-1.1814878946290701,0.16448478785986587,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E021,P012,P009,3,2,1+2,-0.9754785032055806,0.055500717459839546,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E022,P013,P003,3,2,0+1,-1.287072285465729,0.06786194325169281,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E023,P013,P005,3,2,0+2,-0.8737359220946093,0.1491424010276635,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E024,P013,P009,3,2,1+2,-1.159922665296821,0.010188478435005893,coarsening_worsens
