edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks
E000,P001,P000,2,1,0+1
E001,P002,P000,2,1,0+1
E002,P003,P000,2,1,0+1
E003,P004,P001,3,2,0+1
E004,P004,P002,3,2,0+2
E005,P004,P003,3,2,1+2
E006,P005,P000,2,1,0+1
E007,P006,P000,2,1,0+1
E008,P007,P001,3,2,0+1
E009,P007,P005,3,2,0+2
E010,P007,P006,3,2,1+2
E011,P008,P000,2,1,0+1
E012,P009,P000,2,1,0+1
E013,P010,P001,3,2,0+1
E014,P010,P008,3,2,0+2
E015,P010,P009,3,2,1+2
E016,P011,P002,3,2,0+1
E017,P011,P005,3,2,0+2
E018,P011,P008,3,2,1+2
E019,P012,P002,3,2,0+1
E020,P012,P006,3,2,0+2
E021,P012,P009,3,2,1+2
E022,P013,P003,3,2,0+1
E023,P013,P005,3,2,0+2
E024,P013,P009,3,2,1+2
E025,P014,P004,4,3,0+1
E026,P014,P007,4,3,0+2
E027,P014,P010,4,3,1+2
E028,P014,P011,4,3,0+3
E029,P014,P012,4,3,1+3
E030,P014,P013,4,3,2+3
E031,P015,P000,2,1,0+1
E032,P016,P000,2,1,0+1
E033,P017,P001,3,2,0+1
E034,P017,P015,3,2,0+2
E035,P017,P016,3,2,1+2
E036,P018,P000,2,1,0+1
E037,P019,P000,2,1,0+1
E038,P020,P001,3,2,0+1
E039,P020,P018,3,2,0+2
E040,P020,P019,3,2,1+2
E041,P021,P002,3,2,0+1
E042,P021,P015,3,2,0+2
E043,P021,P018,3,2,1+2
E044,P022,P002,3,2,0+1
E045,P022,P016,3,2,0+2
E046,P022,P019,3,2,1+2
E047,P023,P003,3,2,0+1
E048,P023,P015,3,2,0+2
E049,P023,P019,3,2,1+2
E050,P024,P004,4,3,0+1
E051,P024,P017,4,3,0+2
E052,P024,P020,4,3,1+2
E053,P024,P021,4,3,0+3
E054,P024,P022,4,3,1+3
E055,P024,P023,4,3,2+3
E056,P025,P000,2,1,0+1
E057,P026,P000,2,1,0+1
E058,P027,P001,3,2,0+1
E059,P027,P025,3,2,0+2
E060,P027,P026,3,2,1+2
