pair_id,score,partition_id,rgs,component_count,ncsAURC_0p10_0p90,ncsAURC_seed_sd,accuracy,mean_evidence_budget,posterior_l1_from_finest,unique_score_fraction,largest_tie_fraction,records_in_nonsingleton_ties_fraction
HandWritten-Mfeat__TMC,native_nonvacuity,P000,000000,1,0.4894295629197125,0.055670239955073614,0.354,0.027720550157467272,0.8995608981818441,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P001,000001,2,0.538547841612294,0.16985208543919228,0.39,1.2481268964797376,0.8835065554075635,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P002,000010,2,0.11320616377258197,0.03335053418598544,0.619,0.8228101120364619,0.8497776190707009,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P003,000011,2,0.18199251054776303,0.02768594044556783,0.667,0.6090164132834645,0.8672974067120035,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P004,000012,3,0.1505187239642447,0.04272889469616752,0.647,2.147276238810201,0.8268769389542031,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P005,000100,2,0.2632729683237337,0.016484421085618633,0.505,1.0223527766545841,0.8341663307482268,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P006,000101,2,0.2333031161311024,0.011865726105353589,0.583,0.5301566420288829,0.8798811475841751,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P007,000102,3,0.20080199950670866,0.024472752084989866,0.546,2.2528606296468596,0.8257536983654435,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P008,000110,2,0.11592464373266198,0.02917533289817175,0.617,0.39725796458753315,0.8747688339084752,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P009,000111,2,0.1243190457310761,0.032467124256363826,0.633,0.7361660334523723,0.8333544252377837,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P010,000112,3,0.24956812112324114,0.03447238090656465,0.559,1.9847208703048482,0.8250067744745225,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P011,000120,3,0.06268483223644947,0.03358891135388164,0.773,1.8468856185586149,0.7875701608698934,1.0,0.005,0.0
HandWritten-Mfeat__TMC,native_nonvacuity,P012,000121,3,0.06881832827123656,0.02851559717358172,0.731,1.711644536657953,0.7912138583452868,1.0,0.005,0.0
