partition_id,rgs,component_count,blocks,declared_policy,all_merge_boundary
P000,000000,1,012345,False,True
P001,000001,2,01234|5,False,False
P002,000010,2,01235|4,False,False
P003,000011,2,0123|45,False,False
P004,000012,3,0123|4|5,False,False
P005,000100,2,01245|3,False,False
P006,000101,2,0124|35,False,False
P007,000102,3,0124|3|5,False,False
P008,000110,2,0125|34,False,False
P009,000111,2,012|345,False,False
P010,000112,3,012|34|5,False,False
P011,000120,3,0125|3|4,False,False
P012,000121,3,012|35|4,False,False
P013,000122,3,012|3|45,False,False
P014,000123,4,012|3|4|5,False,False
P015,001000,2,01345|2,False,False
P016,001001,2,0134|25,False,False
P017,001002,3,0134|2|5,False,False
P018,001010,2,0135|24,False,False
P019,001011,2,013|245,False,False
P020,001012,3,013|24|5,False,False
P021,001020,3,0135|2|4,False,False
P022,001021,3,013|25|4,False,False
P023,001022,3,013|2|45,False,False
P024,001023,4,013|2|4|5,False,False
P025,001100,2,0145|23,False,False
P026,001101,2,014|235,False,False
P027,001102,3,014|23|5,False,False
P028,001110,2,015|234,False,False
P029,001111,2,01|2345,False,False
P030,001112,3,01|234|5,False,False
P031,001120,3,015|23|4,False,False
P032,001121,3,01|235|4,False,False
P033,001122,3,01|23|45,False,False
P034,001123,4,01|23|4|5,False,False
P035,001200,3,0145|2|3,False,False
P036,001201,3,014|25|3,False,False
P037,001202,3,014|2|35,False,False
P038,001203,4,014|2|3|5,False,False
P039,001210,3,015|24|3,False,False
P040,001211,3,01|245|3,False,False
P041,001212,3,01|24|35,False,False
P042,001213,4,01|24|3|5,False,False
P043,001220,3,015|2|34,False,False
P044,001221,3,01|25|34,False,False
P045,001222,3,01|2|345,False,False
P046,001223,4,01|2|34|5,False,False
P047,001230,4,015|2|3|4,False,False
P048,001231,4,01|25|3|4,False,False
P049,001232,4,01|2|35|4,False,False
P050,001233,4,01|2|3|45,False,False
P051,001234,5,01|2|3|4|5,False,False
P052,010000,2,02345|1,False,False
P053,010001,2,0234|15,False,False
P054,010002,3,0234|1|5,False,False
P055,010010,2,0235|14,False,False
P056,010011,2,023|145,False,False
P057,010012,3,023|14|5,False,False
P058,010020,3,0235|1|4,False,False
P059,010021,3,023|15|4,False,False
P060,010022,3,023|1|45,False,False
P061,010023,4,023|1|4|5,False,False
P062,010100,2,0245|13,False,False
P063,010101,2,024|135,False,False
P064,010102,3,024|13|5,False,False
P065,010110,2,025|134,False,False
P066,010111,2,02|1345,False,False
P067,010112,3,02|134|5,False,False
P068,010120,3,025|13|4,False,False
P069,010121,3,02|135|4,False,False
P070,010122,3,02|13|45,False,False
P071,010123,4,02|13|4|5,False,False
P072,010200,3,0245|1|3,False,False
P073,010201,3,024|15|3,False,False
P074,010202,3,024|1|35,False,False
P075,010203,4,024|1|3|5,False,False
P076,010210,3,025|14|3,False,False
P077,010211,3,02|145|3,False,False
P078,010212,3,02|14|35,False,False
P079,010213,4,02|14|3|5,False,False
P080,010220,3,025|1|34,False,False
P081,010221,3,02|15|34,False,False
P082,010222,3,02|1|345,False,False
P083,010223,4,02|1|34|5,False,False
P084,010230,4,025|1|3|4,False,False
P085,010231,4,02|15|3|4,False,False
P086,010232,4,02|1|35|4,False,False
P087,010233,4,02|1|3|45,False,False
P088,010234,5,02|1|3|4|5,False,False
P089,011000,2,0345|12,False,False
P090,011001,2,034|125,False,False
P091,011002,3,034|12|5,False,False
P092,011010,2,035|124,False,False
P093,011011,2,03|1245,False,False
P094,011012,3,03|124|5,False,False
P095,011020,3,035|12|4,False,False
P096,011021,3,03|125|4,False,False
P097,011022,3,03|12|45,False,False
P098,011023,4,03|12|4|5,False,False
P099,011100,2,045|123,False,False
P100,011101,2,04|1235,False,False
P101,011102,3,04|123|5,False,False
P102,011110,2,05|1234,False,False
P103,011111,2,0|12345,False,False
P104,011112,3,0|1234|5,False,False
P105,011120,3,05|123|4,False,False
P106,011121,3,0|1235|4,False,False
P107,011122,3,0|123|45,False,False
P108,011123,4,0|123|4|5,False,False
P109,011200,3,045|12|3,False,False
P110,011201,3,04|125|3,False,False
P111,011202,3,04|12|35,False,False
P112,011203,4,04|12|3|5,False,False
P113,011210,3,05|124|3,False,False
P114,011211,3,0|1245|3,False,False
P115,011212,3,0|124|35,False,False
P116,011213,4,0|124|3|5,False,False
P117,011220,3,05|12|34,False,False
P118,011221,3,0|125|34,False,False
P119,011222,3,0|12|345,False,False
P120,011223,4,0|12|34|5,False,False
P121,011230,4,05|12|3|4,False,False
P122,011231,4,0|125|3|4,False,False
P123,011232,4,0|12|35|4,False,False
P124,011233,4,0|12|3|45,False,False
P125,011234,5,0|12|3|4|5,False,False
P126,012000,3,0345|1|2,False,False
P127,012001,3,034|15|2,False,False
P128,012002,3,034|1|25,False,False
P129,012003,4,034|1|2|5,False,False
P130,012010,3,035|14|2,False,False
P131,012011,3,03|145|2,False,False
P132,012012,3,03|14|25,False,False
P133,012013,4,03|14|2|5,False,False
P134,012020,3,035|1|24,False,False
P135,012021,3,03|15|24,False,False
P136,012022,3,03|1|245,False,False
P137,012023,4,03|1|24|5,False,False
P138,012030,4,035|1|2|4,False,False
P139,012031,4,03|15|2|4,False,False
P140,012032,4,03|1|25|4,False,False
P141,012033,4,03|1|2|45,False,False
P142,012034,5,03|1|2|4|5,False,False
P143,012100,3,045|13|2,False,False
P144,012101,3,04|135|2,False,False
P145,012102,3,04|13|25,False,False
P146,012103,4,04|13|2|5,False,False
P147,012110,3,05|134|2,False,False
P148,012111,3,0|1345|2,False,False
P149,012112,3,0|134|25,False,False
P150,012113,4,0|134|2|5,False,False
P151,012120,3,05|13|24,False,False
P152,012121,3,0|135|24,False,False
P153,012122,3,0|13|245,False,False
P154,012123,4,0|13|24|5,False,False
P155,012130,4,05|13|2|4,False,False
P156,012131,4,0|135|2|4,False,False
P157,012132,4,0|13|25|4,False,False
P158,012133,4,0|13|2|45,False,False
P159,012134,5,0|13|2|4|5,False,False
P160,012200,3,045|1|23,False,False
P161,012201,3,04|15|23,False,False
P162,012202,3,04|1|235,False,False
P163,012203,4,04|1|23|5,False,False
P164,012210,3,05|14|23,False,False
P165,012211,3,0|145|23,False,False
P166,012212,3,0|14|235,False,False
P167,012213,4,0|14|23|5,False,False
P168,012220,3,05|1|234,False,False
P169,012221,3,0|15|234,False,False
P170,012222,3,0|1|2345,False,False
P171,012223,4,0|1|234|5,False,False
P172,012230,4,05|1|23|4,False,False
P173,012231,4,0|15|23|4,False,False
P174,012232,4,0|1|235|4,False,False
P175,012233,4,0|1|23|45,False,False
P176,012234,5,0|1|23|4|5,False,False
P177,012300,4,045|1|2|3,False,False
P178,012301,4,04|15|2|3,False,False
P179,012302,4,04|1|25|3,False,False
P180,012303,4,04|1|2|35,False,False
P181,012304,5,04|1|2|3|5,False,False
P182,012310,4,05|14|2|3,False,False
P183,012311,4,0|145|2|3,False,False
P184,012312,4,0|14|25|3,False,False
P185,012313,4,0|14|2|35,False,False
P186,012314,5,0|14|2|3|5,False,False
P187,012320,4,05|1|24|3,False,False
P188,012321,4,0|15|24|3,False,False
P189,012322,4,0|1|245|3,False,False
P190,012323,4,0|1|24|35,False,False
P191,012324,5,0|1|24|3|5,False,False
P192,012330,4,05|1|2|34,False,False
P193,012331,4,0|15|2|34,False,False
P194,012332,4,0|1|25|34,False,False
P195,012333,4,0|1|2|345,False,False
P196,012334,5,0|1|2|34|5,False,False
P197,012340,5,05|1|2|3|4,False,False
P198,012341,5,0|15|2|3|4,False,False
P199,012342,5,0|1|25|3|4,False,False
P200,012343,5,0|1|2|35|4,False,False
P201,012344,5,0|1|2|3|45,False,False
P202,012345,6,0|1|2|3|4|5,True,False
