condition,rate,seeds,records,scenes,partition_pairwise_f1_mean,coverage_mean,coverage_ci_low,coverage_ci_high,coverage_delta_vs_no_lineage,wrong_all_mean,wrong_all_ci_low,wrong_all_ci_high,wrong_all_delta_vs_no_lineage,wrong_admitted_mean,wrong_admitted_ci_low,wrong_admitted_ci_high,wrong_admitted_delta_vs_no_lineage,correct_all_mean,correct_all_ci_low,correct_all_ci_high,correct_all_delta_vs_no_lineage,expected_cost_mean,expected_cost_ci_low,expected_cost_ci_high,expected_cost_delta_vs_no_lineage
false_merge,0.0,10,31200,48,1.0,0.13125,0.12163461538461538,0.14096314102564103,-0.03753205128205128,0.010608974358974359,0.009583333333333333,0.011538461538461539,-0.07692307692307693,0.08083028083028083,0.07197374996321623,0.08896709681826123,-0.4377796697963808,0.12064102564102563,0.11124439102564103,0.13006570512820512,0.03939102564102563,0.4874198717948718,0.4808645833333334,0.4932247596153846,-0.365849358974359
false_merge,0.1,10,31200,48,0.9131082260956109,0.13059935897435898,0.12064022435897435,0.14064102564102565,-0.038182692307692306,0.010608974358974359,0.00971153846153846,0.011442307692307693,-0.07692307692307693,0.08123351804619802,0.07300281603091976,0.0897945321469991,-0.43737643258046355,0.11999038461538461,0.11028685897435898,0.12984455128205127,0.03874038461538461,0.4877451923076923,0.48174639423076926,0.4937023237179487,-0.36552403846153847
false_merge,0.25,10,31200,48,0.7949933649730879,0.1296474358974359,0.11822676282051282,0.13916826923076922,-0.03913461538461538,0.010608974358974359,0.009679487179487179,0.01157051282051282,-0.07692307692307693,0.08183070089018792,0.0739033493113781,0.09169409782392098,-0.4367792497364737,0.11903846153846154,0.10759214743589743,0.12842948717948718,0.037788461538461535,0.48822115384615383,0.4822271634615385,0.4950649038461538,-0.36504807692307695
false_merge,0.5,10,31200,48,0.6636466559286984,0.12794551282051284,0.11696955128205129,0.13913461538461538,-0.04083653846153845,0.010608974358974359,0.009583333333333333,0.01157051282051282,-0.07692307692307693,0.08291921350490912,0.07413318955063576,0.09210241096195093,-0.4356907371217525,0.11733653846153846,0.10634054487179487,0.1283982371794872,0.03608653846153846,0.48907211538461537,0.4825773237179487,0.4952415865384615,-0.3641971153846154
false_merge,0.75,10,31200,48,0.5715591691726235,0.1263301282051282,0.11499759615384617,0.1373397435897436,-0.04245192307692308,0.010608974358974359,0.009679487179487179,0.011538461538461539,-0.07692307692307693,0.0839786165885808,0.07502418534075979,0.09402429651525583,-0.4346313340380808,0.11572115384615385,0.10419711538461539,0.12637820512820513,0.034471153846153846,0.4898798076923077,0.48328365384615385,0.49649078525641027,-0.36338942307692307
false_merge,1.0,10,31200,48,0.5,0.12477564102564102,0.11278766025641025,0.13555128205128203,-0.044006410256410264,0.010608974358974359,0.009678685897435898,0.01157051282051282,-0.07692307692307693,0.08502440277421013,0.07597109354103022,0.0943397566847357,-0.43358554785245146,0.11416666666666667,0.10271714743589744,0.12528926282051284,0.032916666666666664,0.4906570512820513,0.4839583333333333,0.49676322115384614,-0.3626121794871795
false_split,0.0,10,31200,48,1.0,0.13125,0.12057692307692308,0.1402900641025641,-0.03753205128205128,0.010608974358974359,0.009678685897435898,0.011506410256410256,-0.07692307692307693,0.08083028083028083,0.07348989849072213,0.08895608415568346,-0.4377796697963808,0.12064102564102563,0.11066746794871796,0.12958413461538462,0.03939102564102563,0.4874198717948718,0.481921875,0.4932375801282051,-0.365849358974359
false_split,0.1,10,31200,48,0.9453867445087628,0.13545833333333332,0.12528685897435898,0.14484134615384614,-0.03332371794871797,0.01855769230769231,0.014807692307692308,0.02330208333333333,-0.06897435897435897,0.13693932730751016,0.11128871463623295,0.17008854022076572,-0.38167062331915147,0.11690064102564102,0.10714262820512821,0.12612179487179487,0.035650641025641014,0.5250592948717949,0.5076406250000001,0.5471967147435898,-0.32820993589743586
false_split,0.25,10,31200,48,0.8601597358528975,0.14080128205128206,0.13172756410256412,0.1496834935897436,-0.027980769230769226,0.029455128205128207,0.024485576923076922,0.03621875,-0.05807692307692308,0.20910385118453254,0.17334506791777768,0.2514018898208553,-0.30950609944212903,0.11134615384615384,0.10288461538461538,0.12106089743589743,0.030096153846153842,0.576875,0.5518409455128205,0.607806891025641,-0.27639423076923075
false_split,0.5,10,31200,48,0.6650516419907644,0.15099679487179488,0.1426241987179487,0.15936217948717948,-0.01778525641025641,0.04916666666666667,0.04310817307692308,0.0559951923076923,-0.038365384615384614,0.32557483924648445,0.28693246484570967,0.36807084276863605,-0.19303511138017715,0.1018301282051282,0.09304246794871796,0.11048237179487179,0.020580128205128195,0.6703349358974359,0.6405596955128204,0.7034627403846154,-0.1829342948717949
false_split,0.75,10,31200,48,0.38421924152065745,0.16005769230769232,0.15352403846153848,0.16676522435897437,-0.00872435897435897,0.06919871794871794,0.06342948717948718,0.07468028846153846,-0.01833333333333334,0.4323337352492098,0.39751537603928494,0.4647811284511157,-0.08627621537745178,0.09085897435897436,0.08393990384615385,0.09859214743589743,0.009608974358974356,0.7659647435897436,0.7379158653846154,0.7922491987179487,-0.08730448717948713
false_split,1.0,10,31200,48,0.0,0.1687820512820513,0.16435897435897437,0.1731113782051282,0.0,0.08753205128205128,0.0866338141025641,0.08849358974358974,0.0,0.5186099506266616,0.5060127842844543,0.5310381848804647,0.0,0.08125,0.0771474358974359,0.08554567307692307,0.0,0.8532692307692308,0.8490861378205128,0.8578052884615385,0.0
forged_independence,0.0,10,31200,48,1.0,0.13125,0.12076522435897435,0.14106009615384615,-0.03753205128205128,0.010608974358974359,0.00971153846153846,0.011538461538461539,-0.07692307692307693,0.08083028083028083,0.07331502979191619,0.08917426454678835,-0.4377796697963808,0.12064102564102563,0.1102860576923077,0.13022596153846153,0.03939102564102563,0.4874198717948718,0.48180969551282055,0.49318990384615385,-0.365849358974359
forged_independence,0.1,10,31200,48,0.9453867445087628,0.13545833333333332,0.12534935897435898,0.1452588141025641,-0.03332371794871797,0.01855769230769231,0.014806891025641027,0.022949519230769228,-0.06897435897435897,0.13693932730751016,0.11080119172381539,0.16923648808118952,-0.38167062331915147,0.11690064102564102,0.1073036858974359,0.12647996794871794,0.035650641025641014,0.5250592948717949,0.5072752403846154,0.5469411057692308,-0.32820993589743586
forged_independence,0.25,10,31200,48,0.8601597358528975,0.14080128205128206,0.13121394230769232,0.15022516025641028,-0.027980769230769226,0.029455128205128207,0.024165064102564103,0.03609134615384615,-0.05807692307692308,0.20910385118453254,0.1717639389465501,0.25145308826722906,-0.30950609944212903,0.11134615384615384,0.10198397435897436,0.12016185897435896,0.030096153846153842,0.576875,0.5510164262820513,0.6083525641025641,-0.27639423076923075
forged_independence,0.5,10,31200,48,0.6650516419907644,0.15099679487179488,0.1427548076923077,0.15913541666666667,-0.01778525641025641,0.04916666666666667,0.043139423076923075,0.05609054487179487,-0.038365384615384614,0.32557483924648445,0.2836735872834637,0.36910346838551256,-0.19303511138017715,0.1018301282051282,0.09317227564102565,0.11099599358974359,0.020580128205128195,0.6703349358974359,0.6400092147435897,0.7033978365384614,-0.1829342948717949
forged_independence,0.75,10,31200,48,0.38421924152065745,0.16005769230769232,0.15314022435897434,0.16596314102564103,-0.00872435897435897,0.06919871794871794,0.06352564102564102,0.07496794871794872,-0.01833333333333334,0.4323337352492098,0.3960683603827426,0.46434283342722193,-0.08627621537745178,0.09085897435897436,0.08423076923076923,0.09823717948717949,0.009608974358974356,0.7659647435897436,0.7377167467948718,0.7934963942307692,-0.08730448717948713
forged_independence,1.0,10,31200,48,0.0,0.1687820512820513,0.16451762820512822,0.17330288461538462,0.0,0.08753205128205128,0.08657051282051283,0.08839983974358974,0.0,0.5186099506266616,0.5055568969517726,0.5309493123627185,0.0,0.08125,0.07714663461538462,0.08554567307692307,0.0,0.8532692307692308,0.8486522435897437,0.8576943108974359,0.0
hidden_edge_deletion,0.0,10,31200,48,1.0,0.13125,0.12153285256410257,0.14048397435897436,-0.03753205128205128,0.010608974358974359,0.009647435897435898,0.011506410256410256,-0.07692307692307693,0.08083028083028083,0.07260329028943999,0.08882231284807497,-0.4377796697963808,0.12064102564102563,0.11121714743589743,0.13003365384615384,0.03939102564102563,0.4874198717948718,0.48118589743589746,0.4931109775641026,-0.365849358974359
