method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
quality_weighted_fusion,0.01,31200.0,312.0,220.0,92.0,0.01,0.007051282051282051,0.7051282051282052,0.002948717948717949
quality_weighted_fusion,0.02,31200.0,626.0,291.0,335.0,0.020064102564102564,0.009326923076923076,0.46485623003194887,0.010737179487179487
quality_weighted_fusion,0.03,31200.0,936.0,310.0,626.0,0.03,0.009935897435897435,0.3311965811965812,0.020064102564102564
quality_weighted_fusion,0.04,31200.0,1246.0,323.0,923.0,0.039935897435897434,0.010352564102564103,0.2592295345104334,0.029583333333333333
quality_weighted_fusion,0.05,31200.0,1557.0,330.0,1227.0,0.04990384615384615,0.010576923076923078,0.2119460500963391,0.03932692307692308
quality_weighted_fusion,0.06,31200.0,1871.0,331.0,1540.0,0.05996794871794872,0.010608974358974359,0.17691074291822556,0.04935897435897436
quality_weighted_fusion,0.07,31200.0,2177.0,331.0,1846.0,0.06977564102564103,0.010608974358974359,0.15204409738171795,0.059166666666666666
quality_weighted_fusion,0.08,31200.0,2501.0,331.0,2170.0,0.08016025641025641,0.010608974358974359,0.1323470611755298,0.06955128205128205
quality_weighted_fusion,0.09,31200.0,2806.0,331.0,2475.0,0.08993589743589743,0.010608974358974359,0.1179615110477548,0.07932692307692307
quality_weighted_fusion,0.1,31200.0,3117.0,331.0,2786.0,0.09990384615384615,0.010608974358974359,0.10619185113891562,0.08929487179487179
quality_weighted_fusion,0.11,31200.0,3429.0,331.0,3098.0,0.10990384615384616,0.010608974358974359,0.09652960046660834,0.0992948717948718
quality_weighted_fusion,0.12,31200.0,3741.0,331.0,3410.0,0.11990384615384615,0.010608974358974359,0.08847901630580059,0.1092948717948718
quality_weighted_fusion,0.13,31200.0,4059.0,331.0,3728.0,0.13009615384615383,0.010608974358974359,0.08154717910815472,0.11948717948717949
quality_weighted_fusion,0.14,31200.0,4365.0,331.0,4034.0,0.13990384615384616,0.010608974358974359,0.07583046964490263,0.12929487179487179
quality_weighted_fusion,0.15,31200.0,4680.0,331.0,4349.0,0.15,0.010608974358974359,0.07072649572649573,0.13939102564102565
quality_weighted_fusion,0.16,31200.0,4992.0,331.0,4661.0,0.16,0.010608974358974359,0.06630608974358974,0.14939102564102563
