seed,selected_learning_rate,test_accuracy,export,export_sha256
11,0.003,0.6410256410256411,seed_11.jsonl.gz,794b3b5255d96a9fb0332453c8b1b2b1306db3eb158c4ad1d9a96986223d158c
23,0.003,0.6677814938684504,seed_23.jsonl.gz,415ad737a4fa952c0804156f81aaf7e52f165b40559bdfb1df92eac2c30c8af6
37,0.003,0.6722408026755853,seed_37.jsonl.gz,9edbe9e93dcbe5140d7fd11ebf3a39cd01bcca4f0ddad7e629e04d11d5ef867d
53,0.003,0.6900780379041248,seed_53.jsonl.gz,1321d6d37530638c6441cd57d28f68c1104a1af5cc58803e5b88ea15369a0ca7
71,0.003,0.6510590858416946,seed_71.jsonl.gz,da50e644c57c0a1556f3467d9822e0d33ea638ed16cf89d85d220c843c4480f2
89,0.003,0.68561872909699,seed_89.jsonl.gz,2f431d5ecf5e46802ab1add896f72801cd4d365a05ed865bd60fafa0107c53aa
107,0.003,0.6767001114827201,seed_107.jsonl.gz,ceb388ca8f1963a17563325c1522ff0c4025292a3af8ee8ee4757b1a3cfad1d3
127,0.003,0.6521739130434783,seed_127.jsonl.gz,b12b3c0495c428faaa9d86f61ac77eefbe5b094d6d9b1e64c91fc899161ebbf0
149,0.003,0.7012263099219621,seed_149.jsonl.gz,cab04dc15b55828a95b7bcf9511b5d415d95e4f837d6598c2db2cae8b6f5d4dd
173,0.003,0.6521739130434783,seed_173.jsonl.gz,caf50390b586301542d96517addabdf22d097b9b111dc88f14f05039a5a20889
197,0.003,0.6900780379041248,seed_197.jsonl.gz,ae852d17b313ed614bfc59db9c8ea82a20e81eade8a4b2256ceecd06bb439e5b
223,0.003,0.6521739130434783,seed_223.jsonl.gz,6525c29a9da9879af95648e0bf95e9fb495a6aacc423c98ea6e9f505bd338487
251,0.003,0.7068004459308808,seed_251.jsonl.gz,7875055bdaefaa0482185869d82ad5de3ce40d56af77b15c3656191b48475e9c
281,0.003,0.693422519509476,seed_281.jsonl.gz,e7af829da28bd6b9d7dc3b214af542f8e09d1d4689fa3ad2c2896b29b7431336
313,0.003,0.6677814938684504,seed_313.jsonl.gz,58ae1b54642c255345c2327fe6260f2dcf1711dca92906d4742c0f1865739b5a
347,0.003,0.6421404682274248,seed_347.jsonl.gz,bf6930d576fbca8dc0f66066ed5baefa4fd8431619c19866f733bff16998311c
383,0.003,0.6410256410256411,seed_383.jsonl.gz,4f6db20c84734f72daef53eeb9bf35e3709df6519dfc03b1e3286aac3f6a9053
421,0.003,0.6488294314381271,seed_421.jsonl.gz,17b252831adde2c0407541e3dd998a386b96419a11657b97480e3a1999fb4690
461,0.003,0.7090301003344481,seed_461.jsonl.gz,fa2313775252fba9d6128cd103eb1eea30af6b0bb442040d1507a3c9ec132021
503,0.003,0.6677814938684504,seed_503.jsonl.gz,72d0fe50f2c4e74956af556ffc34cfc70dd09733667be6b0a762979b9239332b
547,0.003,0.6555183946488294,seed_547.jsonl.gz,c37f820285775632db0212f8d90d978e1ddbcdb4c99978b0f217f27c0b69eaca
593,0.003,0.6845039018952063,seed_593.jsonl.gz,2a58bde8fe1172fd48e9d4cd6373eec7ee26e61973391383f0330612cd14502d
641,0.003,0.6633221850613155,seed_641.jsonl.gz,68b27c1dc69ccef43fe40ff83a14f576710b3da515845e2be98452efc90570b0
691,0.003,0.6622073578595318,seed_691.jsonl.gz,63318e95a6d002bb4b932750a9f10f4154ca177617479d52ea017dfa6066d8b5
743,0.003,0.6889632107023411,seed_743.jsonl.gz,d530689a83a35c346dd559e4cc8a3b2445159e129b56edc68e6fa3b94e2f34bf
797,0.003,0.6566332218506131,seed_797.jsonl.gz,6e50050b150b517df212f96e5fc03a438ccfb92dd30006ca9ffa3c0b288fb249
853,0.003,0.6599777034559643,seed_853.jsonl.gz,d72bd0df8c32c6feee6ef431db988f37c862d9e690bc36440d3a27b2ae3fb35a
911,0.003,0.6555183946488294,seed_911.jsonl.gz,bc3203c0252de7a6eff7ca2231cc9c6c3a823b72cb5c5ec64e4c71e5227da4c7
971,0.003,0.6109253065774805,seed_971.jsonl.gz,efe0407b800f7417d335191abcac97f11a7bb25369281904e590be35f2919f10
1031,0.003,0.6889632107023411,seed_1031.jsonl.gz,0aaf0c51ca54f33190e9645a67e85a082614623e128efab679d53e3b876a48f7
