method,score,subset,verifier,csaurc_0p10_0p39,coverage_at_target_0p13,wrong_all_at_target_0p13,correct_all_at_target_0p13
product_evidence_fusion,native,all,False,0.7634827583807662,0.13012820512820514,0.11407051282051282,0.016057692307692308
product_evidence_fusion,native,all,True,0.24859096743159761,0.13006410256410256,0.010576923076923078,0.11948717948717949
product_evidence_fusion,posterior_peak,all,False,0.7634827583807662,0.13012820512820514,0.11407051282051282,0.016057692307692308
product_evidence_fusion,posterior_peak,all,True,0.24859096743159761,0.13006410256410256,0.010576923076923078,0.11948717948717949
product_evidence_fusion,top_two_margin,all,False,0.7675369154744374,0.12990384615384615,0.11445512820512821,0.015448717948717949
product_evidence_fusion,top_two_margin,all,True,0.2335209717535279,0.13006410256410256,0.010608974358974359,0.1194551282051282
product_evidence_fusion,inverse_normalized_entropy,all,False,0.7627751686559168,0.13012820512820514,0.11378205128205128,0.016346153846153847
product_evidence_fusion,inverse_normalized_entropy,all,True,0.24858378104704562,0.13006410256410256,0.010576923076923078,0.11948717948717949
nested_evidential_composition,native,all,False,0.7749081595237832,0.12958333333333333,0.11516025641025641,0.014423076923076924
nested_evidential_composition,native,all,True,0.14792638555478727,0.1301923076923077,0.0,0.1301923076923077
nested_evidential_composition,posterior_peak,all,False,0.7547291123191194,0.12980769230769232,0.11416666666666667,0.01564102564102564
nested_evidential_composition,posterior_peak,all,True,0.2681444582908112,0.1303525641025641,0.010608974358974359,0.11974358974358974
nested_evidential_composition,top_two_margin,all,False,0.7648928800442947,0.12990384615384615,0.11557692307692308,0.014326923076923077
nested_evidential_composition,top_two_margin,all,True,0.24505772256665978,0.13038461538461538,0.010608974358974359,0.11977564102564102
nested_evidential_composition,inverse_normalized_entropy,all,False,0.7960518468170866,0.13006410256410256,0.11307692307692307,0.016987179487179486
nested_evidential_composition,inverse_normalized_entropy,all,True,0.27973010943180804,0.13028846153846155,0.010608974358974359,0.11967948717948718
cautious_evidence_fusion,native,all,False,0.7806420395741257,0.12993589743589742,0.1182051282051282,0.01173076923076923
cautious_evidence_fusion,native,all,True,0.2742181523574964,0.12971153846153846,0.009743589743589744,0.11996794871794872
cautious_evidence_fusion,posterior_peak,all,False,0.7806420395741257,0.12993589743589742,0.1182051282051282,0.01173076923076923
cautious_evidence_fusion,posterior_peak,all,True,0.2742181523574964,0.12971153846153846,0.009743589743589744,0.11996794871794872
cautious_evidence_fusion,top_two_margin,all,False,0.7762687563579412,0.13,0.11842948717948718,0.01157051282051282
cautious_evidence_fusion,top_two_margin,all,True,0.25753667804218705,0.12987179487179487,0.009679487179487179,0.1201923076923077
cautious_evidence_fusion,inverse_normalized_entropy,all,False,0.7904151976440575,0.1298397435897436,0.11807692307692308,0.011762820512820512
cautious_evidence_fusion,inverse_normalized_entropy,all,True,0.2858939259602389,0.12977564102564101,0.009679487179487179,0.12009615384615385
pcecf,native,all,False,0.6294374684440601,0.1305448717948718,0.10147435897435897,0.02907051282051282
pcecf,native,all,True,0.08612194505919865,0.12958333333333333,0.0,0.12958333333333333
pcecf,posterior_peak,all,False,0.9171922941005509,0.12971153846153846,0.12971153846153846,0.0
pcecf,posterior_peak,all,True,0.22234482549102075,0.13041666666666665,0.010608974358974359,0.11980769230769231
pcecf,top_two_margin,all,False,0.9233500358847776,0.12980769230769232,0.12980769230769232,0.0
pcecf,top_two_margin,all,True,0.2231473197344338,0.13022435897435897,0.010608974358974359,0.11961538461538461
pcecf,inverse_normalized_entropy,all,False,0.9157844385427217,0.1296153846153846,0.1296153846153846,0.0
pcecf,inverse_normalized_entropy,all,True,0.22229009568266334,0.13041666666666665,0.010608974358974359,0.11980769230769231
product_evidence_fusion,shared_outer_train_logistic,all,False,0.5547214756070767,0.12967948717948719,0.06230769230769231,0.06737179487179487
product_evidence_fusion,shared_outer_train_logistic,all,True,0.49912269709231494,0.12958333333333333,0.05871794871794872,0.07086538461538462
nested_evidential_composition,shared_outer_train_logistic,all,False,0.3795544515360131,0.13173076923076923,0.04083333333333333,0.0908974358974359
nested_evidential_composition,shared_outer_train_logistic,all,True,0.23373451325211386,0.13032051282051282,0.016378205128205127,0.11394230769230769
cautious_evidence_fusion,shared_outer_train_logistic,all,False,0.4983876464082844,0.13028846153846155,0.060224358974358974,0.07006410256410256
cautious_evidence_fusion,shared_outer_train_logistic,all,True,0.3766901349641259,0.13009615384615383,0.0383974358974359,0.09169871794871795
pcecf,shared_outer_train_logistic,all,False,0.6488988790621325,0.13076923076923078,0.09974358974358974,0.031025641025641027
pcecf,shared_outer_train_logistic,all,True,0.3481847056363538,0.1301923076923077,0.06474358974358975,0.06544871794871795
