method,score,subset,verifier,csaurc_0p10_0p39,coverage_at_target_0p13,wrong_all_at_target_0p13,correct_all_at_target_0p13
product_evidence_fusion,A_unanimous_three_source,all,True,0.24859096743159761,0.13006410256410256,0.010576923076923078,0.11948717948717949
product_evidence_fusion,B_multi_source_three_component,all,True,0.2497489650862859,0.12993589743589742,0.010576923076923078,0.11935897435897436
product_evidence_fusion,C_required_role_two_component,all,True,0.4809593880838376,0.1298397435897436,0.08224358974358974,0.047596153846153844
nested_evidential_composition,A_unanimous_three_source,all,True,0.14792638555478727,0.1301923076923077,0.0,0.1301923076923077
nested_evidential_composition,B_multi_source_three_component,all,True,0.14896260733946054,0.12990384615384615,0.0,0.12990384615384615
nested_evidential_composition,C_required_role_two_component,all,True,0.41158701794782016,0.12919871794871796,0.07692307692307693,0.05227564102564103
cautious_evidence_fusion,A_unanimous_three_source,all,True,0.2742181523574964,0.12971153846153846,0.009743589743589744,0.11996794871794872
cautious_evidence_fusion,B_multi_source_three_component,all,True,0.2755014778059071,0.13003205128205128,0.009743589743589744,0.12028846153846154
cautious_evidence_fusion,C_required_role_two_component,all,True,0.49182623008242604,0.13022435897435897,0.08240384615384615,0.04782051282051282
pcecf,A_unanimous_three_source,all,True,0.08612194505919865,0.12958333333333333,0.0,0.12958333333333333
pcecf,B_multi_source_three_component,all,True,0.08675926216579642,0.12974358974358974,0.0,0.12974358974358974
pcecf,C_required_role_two_component,all,True,0.3891164502870042,0.1303525641025641,0.07692307692307693,0.05342948717948718
