multiplicity,support,contrast,point,bootstrap_mean,ci_low,ci_high,fraction_above_zero
1,primary_0.10_0.39,F0_singleton_minus_F1_registered_at_V0,0.02434742656354877,0.024385874451159282,0.02213012522467305,0.026784637108447182,1.0
1,fixed_0.10_0.35,F0_singleton_minus_F1_registered_at_V0,0.01605028808727499,0.016082450003306156,0.01471830773236124,0.01741745744291488,1.0
2,primary_0.10_0.39,F0_singleton_minus_F1_registered_at_V0,0.09524116812713013,0.0952976316225194,0.09325167595589756,0.09739059959172908,1.0
2,fixed_0.10_0.35,F0_singleton_minus_F1_registered_at_V0,0.07190132724260184,0.07194368360155616,0.0706515242807954,0.07328378984061688,1.0
4,primary_0.10_0.39,F0_singleton_minus_F1_registered_at_V0,0.1872489279520418,0.18662799679251513,0.16607328487358688,0.20556836765981928,1.0
4,fixed_0.10_0.35,F0_singleton_minus_F1_registered_at_V0,0.1647178936784388,0.16404176734553708,0.14271096138420208,0.18378243154001553,1.0
8,primary_0.10_0.39,F0_singleton_minus_F1_registered_at_V0,0.36761138670710997,0.36734959021969715,0.3534489903795269,0.38005148698809543,1.0
8,fixed_0.10_0.35,F0_singleton_minus_F1_registered_at_V0,0.3500549442769363,0.3497778594384075,0.3352246021482689,0.3629715770380785,1.0
16,primary_0.10_0.39,F0_singleton_minus_F1_registered_at_V0,0.42498254851890077,0.4246026846333161,0.4097207939183182,0.43991638115048914,1.0
16,fixed_0.10_0.35,F0_singleton_minus_F1_registered_at_V0,0.40935699799287684,0.4089371330488798,0.3934092389602221,0.4249009852542955,1.0
32,primary_0.10_0.39,F0_singleton_minus_F1_registered_at_V0,0.4337567003573904,0.4335888981996612,0.4211058473908807,0.44693447757511384,1.0
32,fixed_0.10_0.35,F0_singleton_minus_F1_registered_at_V0,0.4181874278198373,0.41797882545001913,0.40498886756348296,0.4319935429615111,1.0
